sitio,codigo,sensor,unidad
rio_claro,T3H72A5,2658,1
rio_claro,T3H72A6,2662,2
rio_claro,T3H72A7,2666,3
rio_claro,T1H67A5,2652,1
rio_claro,T1H67A6,2659,2
rio_claro,T1H66A5,2650,3
rio_claro,T4H62A8,2667,1
rio_claro,T4H61A4,2646,2
rio_claro,T4H61A6,2654,3
rio_claro,T2H56A6,2647,1
rio_claro,T2H55A6,2663,2
rio_claro,T2H55A8,2665,3
la_esperanza,T4H79A4,2668,1
la_esperanza,T4H79A7,2664,2
la_esperanza,T4H81A4,2649,3
la_esperanza,T1H85A4,2653,1
la_esperanza,T1H85A5,2655,2
la_esperanza,T1H86A7,2657,3
la_esperanza,T2H93A4,2661,1
la_esperanza,T2H94A4,2660,2
la_esperanza,T2H94A6,2645,3
la_esperanza,T3H98A8,2644,1
la_esperanza,T3H98A9,2656,2
la_esperanza,T3H99A8,2648,3
