fecha,codigo,sitio,potencial_bar,unidad
2022/10/18,T3H72A5,rio_claro,,1
2022/10/18,T3H72A6,rio_claro,,2
2022/10/18,T3H72A7,rio_claro,9.07,3
2022/10/18,T1H67A5,rio_claro,,1
2022/10/18,T1H67A6,rio_claro,,2
2022/10/18,T1H66A5,rio_claro,8.34,3
2022/10/18,T4H62A8,rio_claro,,1
2022/10/18,T4H61A4,rio_claro,,2
2022/10/18,T4H61A6,rio_claro,10.11,3
2022/10/18,T2H56A6,rio_claro,8.78,1
2022/10/18,T2H55A6,rio_claro,8.25,2
2022/10/18,T2H55A8,rio_claro,9.91,3
2022/10/19,T4H79A4,la_esperanza,10.14,1
2022/10/19,T4H79A7,la_esperanza,9.57,2
2022/10/19,T4H81A4,la_esperanza,10.03,3
2022/10/19,T1H85A4,la_esperanza,9.37,1
2022/10/19,T1H85A5,la_esperanza,10.67,2
2022/10/19,T1H86A7,la_esperanza,,3
2022/10/19,T2H93A4,la_esperanza,11.24,1
2022/10/19,T2H94A4,la_esperanza,10.84,2
2022/10/19,T2H94A6,la_esperanza,9.18,3
2022/10/19,T3H98A8,la_esperanza,10.06,1
2022/10/19,T3H98A9,la_esperanza,9.89,2
2022/10/19,T3H99A8,la_esperanza,9.12,3
2022/10/25,T3H72A5,rio_claro,10.94,1
2022/10/25,T3H72A6,rio_claro,12.39,2
2022/10/25,T3H72A7,rio_claro,11.95,3
2022/10/25,T1H67A5,rio_claro,11.81,1
2022/10/25,T1H67A6,rio_claro,9.1,2
2022/10/25,T1H66A5,rio_claro,9.91,3
2022/10/25,T4H62A8,rio_claro,8.26,1
2022/10/25,T4H61A4,rio_claro,7.46,2
2022/10/25,T4H61A6,rio_claro,9.98,3
2022/10/25,T2H56A6,rio_claro,9.8,1
2022/10/25,T2H55A6,rio_claro,9.42,2
2022/10/25,T2H55A8,rio_claro,10.49,3
2022/10/26,T4H79A4,la_esperanza,12.25,1
2022/10/26,T4H79A7,la_esperanza,10.53,2
2022/10/26,T4H81A4,la_esperanza,12.27,3
2022/10/26,T1H85A4,la_esperanza,10.52,1
2022/10/26,T1H85A5,la_esperanza,10.33,2
2022/10/26,T1H86A7,la_esperanza,9.43,3
2022/10/26,T2H93A4,la_esperanza,11.56,1
2022/10/26,T2H94A4,la_esperanza,9.98,2
2022/10/26,T2H94A6,la_esperanza,11.46,3
2022/10/26,T3H98A8,la_esperanza,12.51,1
2022/10/26,T3H98A9,la_esperanza,10.57,2
2022/10/26,T3H99A8,la_esperanza,9.81,3
2022/10/26,T0H103A5,la_esperanza,9.57,1
2022/10/26,T0H103A6,la_esperanza,12.4,2
2022/10/26,T0H104A6,la_esperanza,10.98,3
2022/11/03,T4H79A4,la_esperanza,11.05,1
2022/11/03,T4H79A7,la_esperanza,10.03,2
2022/11/03,T4H81A4,la_esperanza,9.86,3
2022/11/03,T1H85A4,la_esperanza,9.17,1
2022/11/03,T1H85A5,la_esperanza,10.14,2
2022/11/03,T1H86A7,la_esperanza,9.07,3
2022/11/03,T2H93A4,la_esperanza,13.83,1
2022/11/03,T2H94A4,la_esperanza,13.01,2
2022/11/03,T2H94A6,la_esperanza,12.59,3
2022/11/03,T3H98A8,la_esperanza,12.83,1
2022/11/03,T3H98A9,la_esperanza,9.83,2
2022/11/03,T3H99A8,la_esperanza,9.02,3
2022/11/03,T0H103A5,la_esperanza,9,1
2022/11/03,T0H103A6,la_esperanza,8.79,2
2022/11/03,T0H104A6,la_esperanza,8.11,3
2022/11/04,T3H72A5,rio_claro,10.07,1
2022/11/04,T3H72A6,rio_claro,10.05,2
2022/11/04,T3H72A7,rio_claro,11.7,3
2022/11/04,T1H67A5,rio_claro,6.07,1
2022/11/04,T1H67A6,rio_claro,8.26,2
2022/11/04,T1H66A5,rio_claro,7.21,3
2022/11/04,T4H62A8,rio_claro,6.96,1
2022/11/04,T4H61A4,rio_claro,8.39,2
2022/11/04,T4H61A6,rio_claro,9.27,3
2022/11/04,T2H56A6,rio_claro,7.16,1
2022/11/04,T2H55A6,rio_claro,7.93,2
2022/11/04,T2H55A8,rio_claro,6.91,3
2022/11/04,T0H52A8,rio_claro,7.15,1
2022/11/04,T0H51A9,rio_claro,8.96,2
2022/11/04,T0H50A4,rio_claro,7.33,3
2022/11/14,T4H79A4,la_esperanza,14.47,1
2022/11/14,T4H79A7,la_esperanza,12.62,2
2022/11/14,T4H81A4,la_esperanza,15.68,3
2022/11/14,T1H85A4,la_esperanza,13.41,1
2022/11/14,T1H85A5,la_esperanza,14.8,2
2022/11/14,T1H86A7,la_esperanza,14.35,3
2022/11/14,T2H93A4,la_esperanza,13.91,1
2022/11/14,T2H94A4,la_esperanza,13.71,2
2022/11/14,T2H94A6,la_esperanza,13.11,3
2022/11/14,T3H98A8,la_esperanza,13.23,1
2022/11/14,T3H98A9,la_esperanza,14.26,2
2022/11/14,T3H99A8,la_esperanza,11.81,3
2022/11/14,T0H103A5,la_esperanza,12.31,1
2022/11/14,T0H103A6,la_esperanza,15.65,2
2022/11/14,T0H104A6,la_esperanza,14.3,3
2022/11/15,T3H72A5,rio_claro,18.29,1
2022/11/15,T3H72A6,rio_claro,20.35,2
2022/11/15,T3H72A7,rio_claro,21.4,3
2022/11/15,T1H67A5,rio_claro,17.63,1
2022/11/15,T1H67A6,rio_claro,14.39,2
2022/11/15,T1H66A5,rio_claro,16.12,3
2022/11/15,T4H62A8,rio_claro,14.7,1
2022/11/15,T4H61A4,rio_claro,16.26,2
2022/11/15,T4H61A6,rio_claro,18.12,3
2022/11/15,T2H56A6,rio_claro,14.62,1
2022/11/15,T2H55A6,rio_claro,15.33,2
2022/11/15,T2H55A8,rio_claro,15.67,3
2022/11/15,T0H52A8,rio_claro,14.97,1
2022/11/15,T0H51A9,rio_claro,14.44,2
2022/11/15,T0H50A4,rio_claro,14.41,3
2022/11/23,T3H72A5,rio_claro,22.55,1
2022/11/23,T3H72A6,rio_claro,26.48,2
2022/11/23,T3H72A7,rio_claro,26.66,3
2022/11/23,T1H67A5,rio_claro,21.43,1
2022/11/23,T1H67A6,rio_claro,17.91,2
2022/11/23,T1H66A5,rio_claro,19.38,3
2022/11/23,T4H62A8,rio_claro,18.96,1
2022/11/23,T4H61A4,rio_claro,22.43,2
2022/11/23,T4H61A6,rio_claro,23.14,3
2022/11/23,T2H56A6,rio_claro,19.52,1
2022/11/23,T2H55A6,rio_claro,22.54,2
2022/11/23,T2H55A8,rio_claro,20.78,3
2022/11/23,T0H52A8,rio_claro,16.98,1
2022/11/23,T0H51A9,rio_claro,18.42,2
2022/11/23,T0H50A4,rio_claro,18.35,3
2022/11/24,T4H79A4,la_esperanza,15.2,1
2022/11/24,T4H79A7,la_esperanza,14.13,2
2022/11/24,T4H81A4,la_esperanza,12.6,3
2022/11/24,T1H85A4,la_esperanza,11.72,1
2022/11/24,T1H85A5,la_esperanza,11.41,2
2022/11/24,T1H86A7,la_esperanza,10.03,3
2022/11/24,T2H93A4,la_esperanza,13.64,1
2022/11/24,T2H94A4,la_esperanza,15.57,2
2022/11/24,T2H94A6,la_esperanza,12.16,3
2022/11/24,T3H98A8,la_esperanza,12.98,1
2022/11/24,T3H98A9,la_esperanza,12.12,2
2022/11/24,T3H99A8,la_esperanza,9.96,3
2022/11/24,T0H103A5,la_esperanza,10.53,1
2022/11/24,T0H103A6,la_esperanza,10.17,2
2022/11/24,T0H104A6,la_esperanza,9.47,3
2022/11/24,T3H72A5,rio_claro,14,1
2022/11/24,T3H72A6,rio_claro,18,2
2022/11/24,T3H72A7,rio_claro,18,3
2022/11/24,T1H67A5,rio_claro,15,1
2022/11/24,T1H67A6,rio_claro,12.5,2
2022/11/24,T1H66A5,rio_claro,12,3
2022/11/24,T4H62A8,rio_claro,15,1
2022/11/24,T4H61A4,rio_claro,12,2
2022/11/24,T4H61A6,rio_claro,16,3
2022/11/24,T2H56A6,rio_claro,11,1
2022/11/24,T2H55A6,rio_claro,,2
2022/11/24,T2H55A8,rio_claro,13,3
2022/11/24,T0H52A8,rio_claro,17,1
2022/11/24,T0H51A9,rio_claro,17,2
2022/11/24,T0H50A4,rio_claro,17,3
2022/11/28,T3H72A5,rio_claro,16.46,1
2022/11/28,T3H72A6,rio_claro,16.73,2
2022/11/28,T3H72A7,rio_claro,17.12,3
2022/11/28,T1H67A5,rio_claro,10.17,1
2022/11/28,T1H67A6,rio_claro,10.23,2
2022/11/28,T1H66A5,rio_claro,10.47,3
2022/11/28,T4H62A8,rio_claro,17.28,1
2022/11/28,T4H61A4,rio_claro,15.81,2
2022/11/28,T4H61A6,rio_claro,17.6,3
2022/11/28,T2H56A6,rio_claro,13.07,1
2022/11/28,T2H55A6,rio_claro,14.43,2
2022/11/28,T2H55A8,rio_claro,15.11,3
