data;field;treatment;above_par;below_par;lai;latitude;length
18 01 2023;rio_claro;T3;1379.842857;768.3190476;1.83;34.70051415;70.86501994
18 01 2023;rio_claro;T1;1570.135;848.635;1.8745;34.70069675;70.86492003
18 01 2023;rio_claro;T4;1437.81;842.68;1.554;34.70087711;70.86469782
18 01 2023;rio_claro;T2;1012.194118;703.1882353;1.311764706;34.70106252;70.86448911
18 01 2023;rio_claro;T0;962.11;647.135;1.563;34.70125019;70.86427415
23 01 2023;la_esperanza;T4;1351.68;452.7;2.85;34.32834536;71.27407602
23 01 2023;la_esperanza;T1;1449.475;706.8;2.27;34.32825556;71.27396667
23 01 2023;la_esperanza;T2;1514.84;808.2;2.014;34.32798811;71.27374546
23 01 2023;la_esperanza;T3;1156.5;737.45;1.935;34.32789905;71.27374546
23 01 2023;la_esperanza;T0;1356.06;786.38;2.3;34.32771945;71.27351944
7 02 2023;la_esperanza;T4;1520.12;337.92;3.844;34.32834536;71.27407602
7 02 2023;la_esperanza;T1;1470.08;410.8;3.336;34.32825556;71.27396667
7 02 2023;la_esperanza;T2;1413.65;661.8333333;2.213333333;34.32798811;71.27374546
7 02 2023;la_esperanza;T3;1609.95;478.6666667;3.29;34.32789905;71.27374546
7 02 2023;la_esperanza;T0;1580;517.28;2.98;34.32771945;71.27351944
2 02 2023;rio_claro;T3;2130.02;1499.44;0.631;34.70051415;70.86501994
2 02 2023;rio_claro;T1;2069.866667;1278.766667;0.569833333;34.70069675;70.86492003
2 02 2023;rio_claro;T4;2166.4;1316.48;0.566;34.70087711;70.86469782
2 02 2023;rio_claro;T2;2140.9;1241.76;0.5308;34.70106252;70.86448911
2 02 2023;rio_claro;T0;2177.716667;1037.8;0.442833333;34.70125019;70.86427415
17 02 2023;rio_claro;T3;1739.96;667.06;2.498;34.70051415;70.86501994
17 02 2023;rio_claro;T1;2041.44;535.04;3.446;34.70069675;70.86492003
17 02 2023;rio_claro;T4;2071.7;677.12;2.86;34.70087711;70.86469782
17 02 2023;rio_claro;T2;2029.26;685;2.872;34.70106252;70.86448911
17 02 2023;rio_claro;T0;2023.133333;553.0833333;3.6;34.70125019;70.86427415
22 02 2023;la_esperanza;T4;1506.8;447.86;3.79;34.32834536;71.27407602
22 02 2023;la_esperanza;T1;1459.72;647.4;2.96;34.32825556;71.27396667
22 02 2023;la_esperanza;T2;1823;837.84;2.71;34.32798811;71.27374546
22 02 2023;la_esperanza;T3;1864.62;680.7;3.48;34.32789905;71.27374546
22 02 2023;la_esperanza;T0;1776.52;646.22;3.33;34.32771945;71.27351944
27 02 2023;rio_claro;T3;1688.1;1797.78;0.54;34.70051415;70.86501994
27 02 2023;rio_claro;T1;1254.2;1241.68;0.84;34.70069675;70.86492003
27 02 2023;rio_claro;T4;1136.77;1474.8;0.6;34.70087711;70.86469782
27 02 2023;rio_claro;T2;1059.02;1459.04;0.56;34.70106252;70.86448911
27 02 2023;rio_claro;T0;1106.05;1263.92;0.89;34.70125019;70.86427415
7 02 2023;la_esperanza;T4;1266.77;281.6;3.2;34.32834536;71.27407602
7 02 2023;la_esperanza;T1;1225.07;342.33;2.78;34.32825556;71.27396667
7 02 2023;la_esperanza;T2;1211.7;567.29;1.9;34.32798811;71.27374546
7 02 2023;la_esperanza;T3;1379.96;410.29;2.82;34.32789905;71.27374546
7 02 2023;la_esperanza;T0;1316.67;431.07;2.48;34.32771945;71.27351944
17 02 2023;la_esperanza;T3;1449.97;555.88;2.08;34.32834536;71.27407602
17 02 2023;la_esperanza;T1;1701.2;445.87;2.87;34.32825556;71.27396667
17 02 2023;la_esperanza;T4;1726.42;564.27;2.38;34.32798811;71.27374546
17 02 2023;la_esperanza;T2;1691.05;570.83;2.39;34.32789905;71.27374546
17 02 2023;la_esperanza;T0;1734.11;474.07;3.09;34.32771945;71.27351944
22 02 2023;rio_claro;T4;1506.8;447.86;3.79;34.70051415;70.86501994
22 02 2023;rio_claro;T1;1216.43;539.5;2.46;34.70069675;70.86492003
22 02 2023;rio_claro;T2;1519.17;698.2;2.26;34.70087711;70.86469782
22 02 2023;rio_claro;T3;1598.24;583.46;2.98;34.70106252;70.86448911
22 02 2023;rio_claro;T0;1480.43;538.52;2.78;34.70125019;70.86427415
27 02 2023;rio_claro;T3;1688.1;1797.78;0.54;34.70051415;70.86501994
27 02 2023;rio_claro;T1;1045.17;1034.73;0.7;34.70069675;70.86492003
27 02 2023;rio_claro;T4;974.37;1264.11;0.52;34.70087711;70.86469782
27 02 2023;rio_claro;T2;882.52;1215.87;0.47;34.70106252;70.86448911
27 02 2023;rio_claro;T0;895.73;1005.65;0.76;34.70125019;70.86427415
9 03 2023;la_esperanza;T4;1725.73;395.3;3.72;34.32834536;71.27407602
9 03 2023;la_esperanza;T1;1305.55;334.33;2.95;34.32825556;71.27396667
9 03 2023;la_esperanza;T2;1651.55;519.05;2.55;34.32798811;71.27374546
9 03 2023;la_esperanza;T3;1754.17;390.31;3.15;34.32789905;71.27374546
9 03 2023;la_esperanza;T0;1639.8;511.68;2.47;34.32771945;71.27351944
14 03 2023;rio_claro;T3;1543.7;837.9;1.37;34.70051415;70.86501994
14 03 2023;rio_claro;T1;1365.12;800;1.42;34.70069675;70.86492003
14 03 2023;rio_claro;T4;1589.13;884.98;1.4;34.70087711;70.86469782
14 03 2023;rio_claro;T2;1578.83;988.88;1.23;34.70106252;70.86448911
14 03 2023;rio_claro;T0;1577.73;810.44;1.67;34.70125019;70.86427415
20 03 2023;la_esperanza;T4;1641.59;489.96;3.18;34.32834536;71.27407602
20 03 2023;la_esperanza;T1;1652.55;780.63;2.65;34.32825556;71.27396667
20 03 2023;la_esperanza;T2;1690.97;635.05;2.73;34.32798811;71.27374546
20 03 2023;la_esperanza;T3;1697.09;559.9;2.89;34.32789905;71.27374546
20 03 2023;la_esperanza;T0;1695.53;876.98;2.34;34.32771945;71.27351944
