fecha;sitio;codigo;fruto_cr;fruto_t;unidad
23 11 2023;la_esperanza;T4H79A4;41;92;1
23 11 2023;la_esperanza;T4H79A7;28;76;2
23 11 2023;la_esperanza;T4H81A4;34;91;3
23 11 2023;la_esperanza;T1H86A7;20;70;1
23 11 2023;la_esperanza;T1H86A8;45;100;2
23 11 2023;la_esperanza;T1H86A11;35;100;3
23 11 2023;la_esperanza;T2H93A5;29;107;1
23 11 2023;la_esperanza;T2H94A4;44;102;2
23 11 2023;la_esperanza;T2H94A6;24;79;3
23 11 2023;la_esperanza;T3H98A8;47;100;1
23 11 2023;la_esperanza;T3H98A9;43;100;2
23 11 2023;la_esperanza;T3H99A8;34;102;3
23 11 2023;la_esperanza;T0H103A4;23;80;1
23 11 2023;la_esperanza;T0H103A8;28;93;2
23 11 2023;la_esperanza;T0H105A6;25;85;3
