FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:40:40  8.3.2024	14:41:02  8.3.2024	14:41:24  8.3.2024	14:41:44  8.3.2024	14:42:10  8.3.2024	14:42:32  8.3.2024	14:42:51  8.3.2024	14:43:10  8.3.2024	14:43:59  8.3.2024	14:44:18  8.3.2024	14:44:36  8.3.2024	14:44:54  8.3.2024	14:46:01  8.3.2024	14:46:21  8.3.2024	14:46:40  8.3.2024	14:47:02  8.3.2024	14:47:31  8.3.2024	14:47:51  8.3.2024	14:48:13  8.3.2024	14:48:31  8.3.2024	14:48:56  8.3.2024	14:49:14  8.3.2024	14:49:33  8.3.2024	14:49:50  8.3.2024	14:54:00  8.3.2024	14:54:17  8.3.2024	14:54:36  8.3.2024	14:54:54  8.3.2024	14:55:37  8.3.2024	14:55:55  8.3.2024	14:56:14  8.3.2024	14:56:34  8.3.2024	14:57:01  8.3.2024	14:57:20  8.3.2024	14:57:38  8.3.2024	14:57:57  8.3.2024	14:58:59  8.3.2024	14:59:20  8.3.2024	14:59:41  8.3.2024	15:00:02  8.3.2024	15:00:29  8.3.2024	15:00:49  8.3.2024	15:01:12  8.3.2024	15:01:34  8.3.2024	15:02:49  8.3.2024	15:03:10  8.3.2024	15:03:28  8.3.2024	15:03:52  8.3.2024	15:05:35  8.3.2024	15:06:13  8.3.2024	15:06:31  8.3.2024	15:06:52  8.3.2024	15:07:28  8.3.2024	15:07:46  8.3.2024	15:08:05  8.3.2024	15:08:26  8.3.2024	15:19:03  8.3.2024	15:19:27  8.3.2024	15:19:53  8.3.2024	15:20:16  8.3.2024	
Bckg	219	199	189	189	229	428	239	229	219	260	260	260	199	260	189	179	199	199	199	219	289	357	199	239	239	289	292	229	292	357	329	229	348	219	329	289	209	209	199	199	418	299	229	229	219	219	239	209	209	219	229	209	219	209	199	249	239	209	209	209	
Fo	4935	4795	4277	4137	3749	4237	3918	4646	5055	6794	6274	6079	4935	6437	4686	4536	4317	4975	4855	4925	4626	6665	4496	4945	4367	4606	5755	4656	6015	6502	4556	4965	4567	4636	4905	4795	4317	4367	4227	4925	3948	4985	4845	4317	4935	4217	4616	4197	5324	5075	4576	4706	4417	4466	4466	4516	4526	3858	4247	4716	
Fj	12353	12024	12373	11366	8614	9123	9661	11037	13240	19051	15897	18433	13240	15117	13639	13639	10249	12094	14516	12692	9790	11834	12542	10668	9382	11266	12159	13240	13720	14695	9451	9152	9701	12193	10747	11196	10847	11844	10628	10199	7767	13220	12044	11854	11814	9392	11007	10648	11017	10907	10508	11136	9920	11386	12213	11605	10987	10977	12133	11376	
Fi	19491	19471	22612	20578	14526	11366	14945	16042	18335	32153	25001	33551	19681	22920	24835	26630	14546	17457	26520	19880	11126	14825	21376	13021	12024	23808	15930	25064	18791	20515	11046	11505	11625	16440	13788	13728	15284	19481	19152	12482	9482	24516	16799	23609	18873	11545	17118	17088	13569	14097	13818	16002	14606	19950	20179	18903	15573	18235	20628	19691	
Fm	26281	25852	28085	26400	19910	15972	20359	22662	25653	37875	31210	39305	26630	29032	29750	31864	19471	22821	33379	28823	14626	18141	27916	16580	16341	29969	20872	30668	26854	26204	15333	16540	15554	21525	18813	18644	20608	25643	24476	16510	13908	29720	21306	29332	24117	15772	21874	22921	17308	18345	18763	20249	21764	25254	25204	25154	20668	24636	26979	26341	
Fv	21346	21057	23808	22263	16161	11735	16441	18016	20598	31081	24936	33226	21695	22595	25064	27328	15154	17846	28524	23898	10000	11476	23420	11635	11974	25363	15117	26012	20839	19702	10777	11575	10987	16889	13908	13849	16291	21276	20249	11585	9960	24735	16461	25015	19182	11555	17258	18724	11984	13270	14187	15543	17347	20788	20738	20638	16142	20778	22732	21625	
Vj	0.348	0.343	0.340	0.325	0.301	0.416	0.349	0.355	0.397	0.394	0.386	0.372	0.383	0.384	0.357	0.333	0.391	0.399	0.339	0.325	0.516	0.450	0.344	0.492	0.419	0.263	0.424	0.330	0.370	0.416	0.454	0.362	0.467	0.447	0.420	0.462	0.401	0.351	0.316	0.455	0.383	0.333	0.437	0.301	0.359	0.448	0.370	0.345	0.475	0.439	0.418	0.414	0.317	0.333	0.374	0.343	0.400	0.343	0.347	0.308	
Vi	0.682	0.697	0.770	0.738	0.667	0.607	0.671	0.633	0.645	0.816	0.751	0.827	0.680	0.729	0.804	0.808	0.675	0.699	0.760	0.626	0.650	0.711	0.721	0.694	0.639	0.757	0.673	0.785	0.613	0.711	0.602	0.565	0.642	0.699	0.639	0.645	0.673	0.710	0.737	0.652	0.556	0.790	0.726	0.771	0.727	0.634	0.724	0.688	0.688	0.680	0.651	0.727	0.587	0.745	0.758	0.697	0.684	0.692	0.721	0.692	
Fm/Fo	5.325	5.391	6.567	6.381	5.311	3.770	5.196	4.878	5.075	5.575	4.974	6.466	5.396	4.510	6.349	7.025	4.510	4.587	6.875	5.852	3.162	2.722	6.209	3.353	3.742	6.507	3.627	6.587	4.465	4.030	3.365	3.331	3.406	4.643	3.835	3.888	4.774	5.872	5.790	3.352	3.523	5.962	4.398	6.795	4.887	3.740	4.739	5.461	3.251	3.615	4.100	4.303	4.927	5.655	5.644	5.570	4.567	6.386	6.352	5.585	
Fv/Fo	4.325	4.391	5.567	5.381	4.311	2.770	4.196	3.878	4.075	4.575	3.974	5.466	4.396	3.510	5.349	6.025	3.510	3.587	5.875	4.852	2.162	1.722	5.209	2.353	2.742	5.507	2.627	5.587	3.465	3.030	2.365	2.331	2.406	3.643	2.835	2.888	3.774	4.872	4.790	2.352	2.523	4.962	3.398	5.795	3.887	2.740	3.739	4.461	2.251	2.615	3.100	3.303	3.927	4.655	4.644	4.570	3.567	5.386	5.352	4.585	
