FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:32:00  3.11.2023	14:32:40  3.11.2023	14:33:08  3.11.2023	14:33:33  3.11.2023	14:34:02  3.11.2023	14:34:27  3.11.2023	14:34:57  3.11.2023	14:35:20  3.11.2023	14:35:50  3.11.2023	14:36:11  3.11.2023	14:36:33  3.11.2023	14:37:32  3.11.2023	14:38:47  3.11.2023	14:39:09  3.11.2023	14:39:30  3.11.2023	14:39:50  3.11.2023	14:40:14  3.11.2023	14:40:36  3.11.2023	14:40:55  3.11.2023	14:41:20  3.11.2023	14:41:48  3.11.2023	14:42:07  3.11.2023	14:42:44  3.11.2023	14:43:09  3.11.2023	14:44:24  3.11.2023	14:44:45  3.11.2023	14:45:26  3.11.2023	14:45:46  3.11.2023	14:46:14  3.11.2023	14:46:34  3.11.2023	14:46:54  3.11.2023	14:47:16  3.11.2023	14:47:49  3.11.2023	14:48:13  3.11.2023	14:48:57  3.11.2023	14:49:32  3.11.2023	14:51:02  3.11.2023	14:51:21  3.11.2023	14:51:44  3.11.2023	14:52:03  3.11.2023	14:52:29  3.11.2023	14:52:49  3.11.2023	14:53:17  3.11.2023	14:53:40  3.11.2023	14:54:39  3.11.2023	14:54:59  3.11.2023	14:55:18  3.11.2023	14:56:16  3.11.2023	15:16:58  3.11.2023	15:17:28  3.11.2023	15:18:19  3.11.2023	15:18:48  3.11.2023	15:29:28  3.11.2023	15:30:14  3.11.2023	15:30:41  3.11.2023	15:31:00  3.11.2023	15:31:26  3.11.2023	15:31:42  3.11.2023	15:32:04  3.11.2023	15:32:25  3.11.2023	
Bckg	715	357	422	357	682	292	455	325	455	260	357	422	682	260	390	325	292	390	325	422	390	325	325	292	269	357	239	552	292	325	357	325	520	520	390	325	455	292	422	390	455	487	325	552	325	357	552	292	390	325	422	455	292	325	715	338	325	325	260	325	
Fo	7932	6177	5755	6372	6795	7185	7835	6892	7575	7119	6827	6632	7413	8713	6437	8030	6925	7315	6859	6632	7900	6697	7932	7835	5005	5982	5473	6990	7315	6502	7283	6047	7022	6990	7347	7087	8713	8420	7900	7802	5689	6502	6599	7608	6112	6990	7348	7055	7250	7997	8551	7997	7315	6859	7217	3757	7217	6047	7607	6729	
Fj	24903	22888	16353	16776	18922	21490	18206	17328	23928	23408	20905	20189	21262	20937	21067	21229	22628	22920	21880	20775	21327	22172	25651	25164	16231	18889	18833	19962	20319	22302	21490	19474	21229	16060	16808	21782	18693	22400	22368	21815	16970	20157	20774	19409	21132	19279	18629	22563	21359	24155	23213	23213	21620	18726	22627	3757	23212	20156	20742	18986	
Fi	28219	26822	17491	16841	20385	22335	18108	15995	26366	30235	21490	22660	22238	19734	27114	20677	24221	24903	26073	21587	20124	26301	27406	29325	23220	24806	22692	22953	20710	25163	23441	21457	22042	16320	16060	23895	17361	21815	22335	21554	19149	22628	21619	18694	24968	19052	18076	25586	23180	24871	23343	24155	23538	19441	27016	3757	24806	24871	21229	19474	
Fm	35567	35697	22823	21587	25554	28577	22205	21164	32738	39175	27439	32186	28025	24058	36022	26594	32251	32771	34169	29455	26919	36542	36054	36640	33409	33779	31704	29650	26919	33681	30560	28967	28674	20547	20742	30885	21977	27114	29553	27699	26106	30203	28577	24286	33258	25164	23376	32966	28609	32088	28902	30755	31048	24871	35762	3757	33453	34331	26203	26171	
Fv	27635	29520	17068	15215	18759	21392	14370	14272	25163	32056	20612	25554	20612	15345	29585	18564	25326	25456	27310	22823	19019	29845	28122	28805	28404	27797	26231	22660	19604	27179	23277	22920	21652	13557	13395	23798	13264	18694	21653	19897	20417	23701	21978	16678	27146	18174	16028	25911	21359	24091	20351	22758	23733	18012	28545	0	26236	28284	18596	19442	
Vj	0.614	0.566	0.621	0.684	0.646	0.669	0.722	0.731	0.650	0.508	0.683	0.531	0.672	0.797	0.495	0.711	0.620	0.613	0.550	0.620	0.706	0.519	0.630	0.602	0.395	0.464	0.509	0.572	0.663	0.581	0.610	0.586	0.656	0.669	0.706	0.617	0.752	0.748	0.668	0.704	0.553	0.576	0.645	0.708	0.553	0.676	0.704	0.599	0.661	0.671	0.720	0.669	0.603	0.659	0.540	0.000	0.610	0.499	0.706	0.630	
Vi	0.734	0.699	0.688	0.688	0.724	0.708	0.715	0.638	0.747	0.721	0.711	0.627	0.719	0.718	0.699	0.681	0.683	0.691	0.704	0.655	0.643	0.657	0.692	0.746	0.641	0.677	0.656	0.704	0.683	0.687	0.694	0.672	0.694	0.688	0.650	0.706	0.652	0.717	0.667	0.691	0.659	0.680	0.683	0.665	0.695	0.664	0.669	0.715	0.746	0.700	0.727	0.710	0.684	0.699	0.694	0.000	0.670	0.666	0.733	0.656	
Fm/Fo	4.484	5.779	3.966	3.388	3.761	3.977	2.834	3.071	4.322	5.503	4.019	4.853	3.781	2.761	5.596	3.312	4.657	4.480	4.982	4.441	3.407	5.456	4.545	4.676	6.675	5.647	5.793	4.242	3.680	5.180	4.196	4.790	4.083	2.939	2.823	4.358	2.522	3.220	3.741	3.550	4.589	4.645	4.331	3.192	5.441	3.600	3.181	4.673	3.946	4.013	3.380	3.846	4.244	3.626	4.955	1.000	4.635	5.677	3.445	3.889	
Fv/Fo	3.484	4.779	2.966	2.388	2.761	2.977	1.834	2.071	3.322	4.503	3.019	3.853	2.781	1.761	4.596	2.312	3.657	3.480	3.982	3.441	2.407	4.456	3.545	3.676	5.675	4.647	4.793	3.242	2.680	4.180	3.196	3.790	3.083	1.939	1.823	3.358	1.522	2.220	2.741	2.550	3.589	3.645	3.331	2.192	4.441	2.600	2.181	3.673	2.946	3.013	2.380	2.846	3.244	2.626	3.955	0.000	3.635	4.677	2.445	2.889	
