FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	13:33:36  20.10.2023	13:34:11  20.10.2023	13:34:35  20.10.2023	13:35:03  20.10.2023	13:36:07  20.10.2023	13:36:29  20.10.2023	13:36:51  20.10.2023	13:37:16  20.10.2023	13:38:13  20.10.2023	13:38:36  20.10.2023	13:39:03  20.10.2023	13:39:33  20.10.2023	13:40:48  20.10.2023	13:41:13  20.10.2023	13:41:52  20.10.2023	13:42:16  20.10.2023	13:43:14  20.10.2023	13:43:35  20.10.2023	13:44:09  20.10.2023	13:44:38  20.10.2023	13:45:07  20.10.2023	13:45:36  20.10.2023	13:45:56  20.10.2023	13:46:18  20.10.2023	13:48:02  20.10.2023	13:48:23  20.10.2023	13:48:46  20.10.2023	13:49:07  20.10.2023	13:49:31  20.10.2023	13:49:52  20.10.2023	13:50:13  20.10.2023	13:50:32  20.10.2023	13:51:13  20.10.2023	13:51:39  20.10.2023	13:51:59  20.10.2023	13:52:22  20.10.2023	13:53:46  20.10.2023	13:54:06  20.10.2023	13:54:27  20.10.2023	13:54:49  20.10.2023	13:55:15  20.10.2023	13:55:37  20.10.2023	13:55:57  20.10.2023	13:56:19  20.10.2023	13:57:45  20.10.2023	13:58:13  20.10.2023	13:58:41  20.10.2023	13:59:11  20.10.2023	14:00:52  20.10.2023	14:01:57  20.10.2023	14:02:23  20.10.2023	14:02:47  20.10.2023	14:07:06  20.10.2023	14:07:25  20.10.2023	14:07:47  20.10.2023	14:08:08  20.10.2023	14:09:00  20.10.2023	14:09:21  20.10.2023	14:09:45  20.10.2023	14:10:09  20.10.2023	
Bckg	209	189	169	259	209	219	239	209	209	199	209	279	219	219	199	199	229	299	229	219	229	209	199	269	209	189	199	209	209	209	219	219	229	219	199	209	209	219	229	219	239	209	229	249	209	229	229	239	206	178	209	260	289	269	229	279	249	209	219	292	
Fo	5035	5603	3655	4207	3639	3778	4078	3719	3719	5344	3679	4566	4606	4147	4736	4855	5433	4755	5075	4436	4606	4496	5414	4187	4177	4516	4726	5005	4407	4666	4417	4676	4327	4696	4716	4865	5214	4795	4147	4267	3978	3848	4347	3798	4327	4865	3659	3669	138	3917	4656	5461	3848	4127	4456	4396	4586	5384	5334	6177	
Fj	15423	19112	3926	13409	10558	12014	13479	11764	11774	18813	11445	15363	15104	13729	15922	16809	19471	12961	16311	15583	16869	16201	17208	13848	14337	15663	15962	17567	14746	15842	15364	16321	14855	14895	14636	15423	16201	15852	13080	13739	12592	12901	13669	12073	12652	10578	11037	11515	147	3917	15334	17556	11884	13369	14606	14017	13878	16081	13459	17784	
Fi	21635	32442	3926	21286	16062	17876	19042	18026	17378	26341	18225	21266	21356	21216	22761	23509	25722	16311	21176	23489	23689	21814	21784	19641	21216	25503	22412	27786	21924	23988	21346	25523	22323	19950	18474	20189	23479	26361	17677	18185	20299	19481	19322	18026	18125	16500	15573	16769	147	3917	23539	24610	17557	20897	22502	19491	18115	21306	21027	22823	
Fm	30249	40638	3926	29980	24576	26630	27417	26630	25603	34865	26231	29282	29870	30189	31266	27507	33788	22342	28913	31934	31904	29770	29302	28604	29501	34586	31136	36769	31196	32791	29700	34725	31176	27766	25433	28175	32871	34237	24905	25483	27417	27976	26829	25503	26410	23978	22901	24117	150	3917	32462	33291	25423	28913	31306	27307	25533	29980	28225	30788	
Fv	25214	35035	271	25773	20937	22852	23339	22911	21884	29521	22552	24716	25264	26042	26530	22652	28355	17587	23838	27498	27298	25274	23888	24417	25324	30070	26410	31764	26789	28125	25283	30049	26849	23070	20717	23310	27657	29442	20758	21216	23439	24128	22482	21705	22083	19113	19242	20448	12	0	27806	27830	21575	24786	26850	22911	20947	24596	22891	24611	
Vj	0.412	0.386	1.000	0.357	0.330	0.360	0.403	0.351	0.368	0.456	0.344	0.437	0.416	0.368	0.422	0.528	0.495	0.467	0.471	0.405	0.449	0.463	0.494	0.396	0.401	0.371	0.425	0.395	0.386	0.397	0.433	0.388	0.392	0.442	0.479	0.453	0.397	0.376	0.430	0.446	0.368	0.375	0.415	0.381	0.377	0.299	0.383	0.384	0.750	0.000	0.384	0.435	0.372	0.373	0.378	0.420	0.444	0.435	0.355	0.472	
Vi	0.658	0.766	1.000	0.663	0.593	0.617	0.641	0.624	0.624	0.711	0.645	0.676	0.663	0.655	0.679	0.824	0.716	0.657	0.675	0.693	0.699	0.685	0.685	0.633	0.673	0.698	0.670	0.717	0.654	0.687	0.670	0.694	0.670	0.661	0.664	0.657	0.660	0.732	0.652	0.656	0.696	0.648	0.666	0.656	0.625	0.609	0.619	0.641	0.750	0.000	0.679	0.688	0.635	0.677	0.672	0.659	0.646	0.647	0.686	0.676	
Fm/Fo	6.008	7.253	1.074	7.126	6.754	7.049	6.723	7.161	6.884	6.524	7.130	6.413	6.485	7.280	6.602	5.666	6.219	4.699	5.697	7.199	6.927	6.621	5.412	6.832	7.063	7.659	6.588	7.346	7.079	7.028	6.724	7.426	7.205	5.913	5.393	5.791	6.304	7.140	6.006	5.972	6.892	7.270	6.172	6.715	6.104	4.929	6.259	6.573	1.087	1.000	6.972	6.096	6.607	7.006	7.026	6.212	5.568	5.568	5.292	4.984	
Fv/Fo	5.008	6.253	0.074	6.126	5.754	6.049	5.723	6.161	5.884	5.524	6.130	5.413	5.485	6.280	5.602	4.666	5.219	3.699	4.697	6.199	5.927	5.621	4.412	5.832	6.063	6.659	5.588	6.346	6.079	6.028	5.724	6.426	6.205	4.913	4.393	4.791	5.304	6.140	5.006	4.972	5.892	6.270	5.172	5.715	5.104	3.929	5.259	5.573	0.087	0.000	5.972	5.096	5.607	6.006	6.026	5.212	4.568	4.568	4.292	3.984	
