sitio;temporada;fecha;hora;tratamiento;unidad;codigo;bar
la_esperanza;2022-2023;13/1/2023;07:00;T4;1;H79A4;7.93
la_esperanza;2022-2023;13/1/2023;07:00;T4;3;H81A4;7.87
la_esperanza;2022-2023;13/1/2023;07:00;T1;1;H85A4;7.23
la_esperanza;2022-2023;13/1/2023;07:00;T1;2;H85A5;6.42
la_esperanza;2022-2023;13/1/2023;07:00;T3;1;H98A8;7.63
la_esperanza;2022-2023;13/1/2023;07:00;T3;3;H99A8;7.89
la_esperanza;2022-2023;13/1/2023;07:00;T3;2;H98A9;6.13
la_esperanza;2022-2023;13/1/2023;07:00;T0;1;H103A5;6.55
la_esperanza;2022-2023;13/1/2023;07:00;T0;2;H103A6;6.74
la_esperanza;2022-2023;13/1/2023;07:00;T0;3;H104A6;8.09
la_esperanza;2022-2023;13/1/2023;08:00;T4;1;H79A4;7.98
la_esperanza;2022-2023;13/1/2023;08:00;T4;3;H81A4;7.96
la_esperanza;2022-2023;13/1/2023;08:00;T1;1;H85A4;10.12
la_esperanza;2022-2023;13/1/2023;08:00;T1;2;H85A5;8.94
la_esperanza;2022-2023;13/1/2023;08:00;T3;1;H98A8;9.93
la_esperanza;2022-2023;13/1/2023;08:00;T3;3;H99A8;8.64
la_esperanza;2022-2023;13/1/2023;08:00;T3;2;H98A9;8.54
la_esperanza;2022-2023;13/1/2023;08:00;T0;1;H103A5;8.3
la_esperanza;2022-2023;13/1/2023;08:00;T0;2;H103A6;7.45
la_esperanza;2022-2023;13/1/2023;08:00;T0;3;H104A6;9.19
la_esperanza;2022-2023;13/1/2023;09:00;T4;1;H79A4;9.32
la_esperanza;2022-2023;13/1/2023;09:00;T4;3;H81A4;8.8
la_esperanza;2022-2023;13/1/2023;09:00;T1;1;H85A4;8.54
la_esperanza;2022-2023;13/1/2023;09:00;T1;2;H85A5;11.95
la_esperanza;2022-2023;13/1/2023;09:00;T3;1;H98A8;12.15
la_esperanza;2022-2023;13/1/2023;09:00;T3;3;H99A8;9.84
la_esperanza;2022-2023;13/1/2023;09:00;T3;2;H98A9;11.82
la_esperanza;2022-2023;13/1/2023;09:00;T0;1;H103A5;8.68
