"Timestamp  in Local time"	"Soil Moisture ID: 2662[%VWC] @2359-1 MS:Sensor is not configured"	"Soil Moisture ID: 2665[%VWC] @2360-1 MS:Sensor is not configured"	"Soil Moisture ID: 2663[%VWC] @2361-1 MS:Sensor is not configured"	"Soil Moisture ID: 2658[%VWC] @2363-1 MS:Sensor is not configured"	"Soil Moisture ID: 2647[%VWC] @2364-1 MS:Sensor is not configured"	"Soil Moisture ID: 2649[%VWC] @2366-1 MS:Sensor is not configured"	"Soil Moisture ID: 2648[%VWC] @2367-3 MS:Sensor is not configured"	"Soil Moisture ID: 2654[%VWC] @2369-1 MS:Sensor is not configured"	"Soil Moisture ID: 2656[%VWC] @2370-3 MS:Sensor is not configured"	"Soil Moisture ID: 2653[%VWC] @2371-1 MS:Sensor is not configured"	"Soil Moisture ID: 2645[%VWC] @2373-3 MS:Sensor is not configured"	"Soil Moisture ID: 2644[%VWC] @2374-1 MS:Sensor is not configured"	"Soil Moisture ID: 2661[%VWC] @2375-1 MS:Sensor is not configured"	"Soil Moisture ID: 2666[%VWC] @2376-1 MS:Sensor is not configured"	"Soil Moisture ID: 2655[%VWC] @2379-1 MS:Sensor is not configured"	"Soil Moisture ID: 2650[%VWC] @2380-1 MS:Sensor is not configured"
"2023-12-18 22:00:13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.45"
"2023-12-18 22:00:32"	""	""	""	""	""	""	""	""	""	""	""	""	"3.69"	""	""	""
"2023-12-18 22:01:02"	""	"5.81"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:01:16"	""	""	""	""	""	""	""	""	""	""	"3.08"	""	""	""	""	""
"2023-12-18 22:01:18"	"8.50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:01:40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12.53"	""
"2023-12-18 22:01:56"	""	""	""	"4.40"	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:02:05"	""	""	""	""	""	""	""	""	""	"3.59"	""	""	""	""	""	""
"2023-12-18 22:02:20"	""	""	"4.71"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:02:24"	""	""	""	""	""	""	""	""	"6.86"	""	""	""	""	""	""	""
"2023-12-18 22:02:32"	""	""	""	""	""	"5.64"	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:03:20"	""	""	""	""	""	""	""	"6.06"	""	""	""	""	""	""	""	""
"2023-12-18 22:04:19"	""	""	""	""	""	""	"7.25"	""	""	""	""	""	""	""	""	""
"2023-12-18 22:04:21"	""	""	""	""	""	""	""	""	""	""	""	"6.13"	""	""	""	""
"2023-12-18 22:04:51"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.81"	""	""
"2023-12-18 22:05:13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.45"
"2023-12-18 22:05:32"	""	""	""	""	""	""	""	""	""	""	""	""	"3.69"	""	""	""
"2023-12-18 22:06:02"	""	"5.71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:06:16"	""	""	""	""	""	""	""	""	""	""	"3.10"	""	""	""	""	""
"2023-12-18 22:06:18"	"8.50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:06:40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12.70"	""
"2023-12-18 22:06:56"	""	""	""	"4.42"	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:07:05"	""	""	""	""	""	""	""	""	""	"3.59"	""	""	""	""	""	""
"2023-12-18 22:07:20"	""	""	"4.69"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:07:24"	""	""	""	""	""	""	""	""	"6.86"	""	""	""	""	""	""	""
"2023-12-18 22:07:32"	""	""	""	""	""	"5.71"	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:08:20"	""	""	""	""	""	""	""	"6.06"	""	""	""	""	""	""	""	""
"2023-12-18 22:09:19"	""	""	""	""	""	""	"7.20"	""	""	""	""	""	""	""	""	""
"2023-12-18 22:09:21"	""	""	""	""	""	""	""	""	""	""	""	"6.13"	""	""	""	""
"2023-12-18 22:09:51"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.93"	""	""
"2023-12-18 22:10:13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.27"
"2023-12-18 22:10:32"	""	""	""	""	""	""	""	""	""	""	""	""	"3.69"	""	""	""
"2023-12-18 22:11:02"	""	"5.71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:11:16"	""	""	""	""	""	""	""	""	""	""	"3.08"	""	""	""	""	""
"2023-12-18 22:11:18"	"8.45"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:11:40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12.53"	""
"2023-12-18 22:11:56"	""	""	""	"4.42"	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:12:05"	""	""	""	""	""	""	""	""	""	"3.59"	""	""	""	""	""	""
"2023-12-18 22:12:20"	""	""	"4.74"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:12:24"	""	""	""	""	""	""	""	""	"6.72"	""	""	""	""	""	""	""
"2023-12-18 22:12:32"	""	""	""	""	""	"5.69"	""	""	""	""	""	""	""	""	""	""
"2023-12-18 22:13:20"	""	""	""	""	""	""	""	"6.18"	""	""	""	""	""	""	""	""
"2023-12-18 22:14:19"	""	""	""	""	""	""	"7.30"	""	""	""	""	""	""	""	""	""
"2023-12-18 22:14:21"	""	""	""	""	""	""	""	""	""	""	""	"6.18"	""	""	""	""
"2023-12-18 22:14:51"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.84"	""	""
"2023-12-18 22:15:13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.37"
