temporada;sitio;codigo;tratamiento;unidad
2022-2023;la_esperanza;T0H103A5;T0;1
2022-2023;la_esperanza;T0H103A7;T0;2
2022-2023;la_esperanza;T0H105A6;T0;3
2022-2023;la_esperanza;T1H85A4;T1;1
2022-2023;la_esperanza;T1H85A5;T1;2
2022-2023;la_esperanza;T1H86A7;T1;3
2022-2023;la_esperanza;T2H93A4;T2;1
2022-2023;la_esperanza;T2H94A4;T2;2
2022-2023;la_esperanza;T2H94A6;T2;3
2022-2023;la_esperanza;T3H98A8;T3;1
2022-2023;la_esperanza;T3H98A9;T3;2
2022-2023;la_esperanza;T3H99A8;T3;3
2022-2023;la_esperanza;T4H79A4;T4;1
2022-2023;la_esperanza;T4H79A7;T4;2
2022-2023;la_esperanza;T4H81A4;T4;3
2022-2023;rio_claro;T0H52A8;T0;1
2022-2023;rio_claro;T0H51A9;T0;2
2022-2023;rio_claro;T0H50A4;T0;3
2022-2023;rio_claro;T1H67A5;T1;1
2022-2023;rio_claro;T1H67A6;T1;2
2022-2023;rio_claro;T1H66A5;T1;3
2022-2023;rio_claro;T2H56A6;T2;1
2022-2023;rio_claro;T2H55A6;T2;2
2022-2023;rio_claro;T2H55A8;T2;3
2022-2023;rio_claro;T3H72A5;T3;1
2022-2023;rio_claro;T3H72A6;T3;2
2022-2023;rio_claro;T3H72A7;T3;3
2022-2023;rio_claro;T4H62A8;T4;1
2022-2023;rio_claro;T4H61A4;T4;2
2022-2023;rio_claro;T4H61A6;T4;3
2023-2024;la_esperanza;T0H103A4;T0;1
2023-2024;la_esperanza;T0H103A8;T0;2
2023-2024;la_esperanza;T0H105A6;T0;3
2023-2024;la_esperanza;T1H86A7;T1;1
2023-2024;la_esperanza;T1H86A8;T1;2
2023-2024;la_esperanza;T1H86A11;T1;3
2023-2024;la_esperanza;T2H93A5;T2;1
2023-2024;la_esperanza;T2H94A4;T2;2
2023-2024;la_esperanza;T2H94A6;T2;3
2023-2024;la_esperanza;T3H98A8;T3;1
2023-2024;la_esperanza;T3H99A8;T3;2
2023-2024;la_esperanza;T3H98A9;T3;3
2023-2024;la_esperanza;T4H79A4;T4;1
2023-2024;la_esperanza;T4H79A7;T4;2
2023-2024;la_esperanza;T4H81A4;T4;3
2023-2024;rio_claro;T3H72A5;T3;1
2023-2024;rio_claro;T3H72A6;T3;2
2023-2024;rio_claro;T3H72A7;T3;3
2023-2024;rio_claro;T1H67A5;T1;1
2023-2024;rio_claro;T1H67A6;T1;2
2023-2024;rio_claro;T1H66A5;T1;3
2023-2024;rio_claro;T4H62A6;T4;1
2023-2024;rio_claro;T4H62A8;T4;2
2023-2024;rio_claro;T4H61A4;T4;3
2023-2024;rio_claro;T2H56A5;T2;1
2023-2024;rio_claro;T2H56A6;T2;2
2023-2024;rio_claro;T2H55A4;T2;3
2023-2024;rio_claro;T0H52A8;T0;1
2023-2024;rio_claro;T0H51A7;T0;2
2023-2024;rio_claro;T0H51A8;T0;3
