sitio;codigo;sensor;unidad
la_esperanza;T4H79A4Z1;8786;1
la_esperanza;T4H79A4Z2;8180;1
la_esperanza;T4H79A7Z1;8480;2
la_esperanza;T4H79A7Z2;8882;2
la_esperanza;T4H81A4Z1;8902;3
la_esperanza;T4H81A4Z2;8901;3
la_esperanza;T1H86A7Z1;8569;1
la_esperanza;T1H86A7Z2;8225;1
la_esperanza;T1H86A8Z1;8787;2
la_esperanza;T1H86A8Z2;8887;2
la_esperanza;T1H86A11Z1;8646;3
la_esperanza;T1H86A11Z2;8785;3
la_esperanza;T2H93A5Z1;8064;1
la_esperanza;T2H93A5Z2;8880;1
la_esperanza;T2H94A4Z1;8456;2
la_esperanza;T2H94A4Z2;8574;2
la_esperanza;T2H94A6Z1;8479;3
la_esperanza;T2H94A6Z2;8482;3
la_esperanza;T3H98A8Z1;8573;1
la_esperanza;T3H98A8Z2;8067;1
la_esperanza;T3H98A9Z1;8878;2
la_esperanza;T3H98A9Z2;8842;2
la_esperanza;T3H99A8Z1;8228;3
la_esperanza;T3H99A8Z2;8694;3
rio_claro;T3H72A5Z1;8483;1
rio_claro;T3H72A5Z2;8782;1
rio_claro;T3H72A6Z1;8784;2
rio_claro;T3H72A6Z2;8658;2
rio_claro;T3H72A7Z1;8905;3
rio_claro;T3H72A7Z2;8783;3
rio_claro;T1H67A5Z1;8664;1
rio_claro;T1H67A5Z2;8885;1
rio_claro;T1H67A6Z1;8568;2
rio_claro;T1H67A6Z2;8571;2
rio_claro;T1H66A5Z1;8063;3
rio_claro;T1H66A5Z2;8562;3
rio_claro;T4H62A6Z1;8685;1
rio_claro;T4H62A6Z2;8066;1
rio_claro;T4H62A8Z1;8683;2
rio_claro;T4H62A8Z2;8886;2
rio_claro;T4H61A4Z1;8174;3
rio_claro;T4H61A4Z2;8881;3
rio_claro;T2H56A5Z1;8719;1
rio_claro;T2H56A5Z2;8883;1
rio_claro;T2H56A6Z1;8879;2
rio_claro;T2H56A6Z2;8527;2
rio_claro;T2H55A4Z1;8645;3
rio_claro;T2H55A4Z2;8679;3
