FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	14:33:20  4.11.2023	14:33:48  4.11.2023	14:34:08  4.11.2023	14:34:31  4.11.2023	14:34:55  4.11.2023	14:35:16  4.11.2023	14:35:37  4.11.2023	14:35:57  4.11.2023	14:37:00  4.11.2023	14:37:22  4.11.2023	14:37:41  4.11.2023	14:38:03  4.11.2023	14:42:17  4.11.2023	14:42:38  4.11.2023	14:43:00  4.11.2023	14:43:21  4.11.2023	14:43:41  4.11.2023	14:44:00  4.11.2023	14:44:20  4.11.2023	14:44:41  4.11.2023	14:45:08  4.11.2023	14:45:28  4.11.2023	14:45:48  4.11.2023	14:46:07  4.11.2023	14:47:52  4.11.2023	14:48:15  4.11.2023	14:48:34  4.11.2023	14:48:54  4.11.2023	14:49:58  4.11.2023	14:50:25  4.11.2023	14:50:52  4.11.2023	14:51:48  4.11.2023	14:52:12  4.11.2023	14:52:31  4.11.2023	14:52:52  4.11.2023	14:53:23  4.11.2023	14:54:19  4.11.2023	14:54:36  4.11.2023	14:54:58  4.11.2023	14:55:18  4.11.2023	14:55:39  4.11.2023	14:56:05  4.11.2023	14:56:28  4.11.2023	14:56:48  4.11.2023	14:57:38  4.11.2023	14:57:56  4.11.2023	14:58:18  4.11.2023	14:58:35  4.11.2023	15:13:48  4.11.2023	15:14:08  4.11.2023	15:14:25  4.11.2023	15:14:43  4.11.2023	15:15:06  4.11.2023	15:15:26  4.11.2023	15:15:46  4.11.2023	15:16:05  4.11.2023	15:16:49  4.11.2023	15:17:06  4.11.2023	15:17:23  4.11.2023	15:18:00  4.11.2023	
Bckg	292	239	269	259	390	378	229	309	390	239	249	219	219	219	259	219	219	357	249	239	279	249	299	249	219	229	229	422	239	299	229	229	438	229	239	259	289	357	209	299	259	319	229	199	325	269	422	229	338	179	199	239	209	219	289	329	338	219	260	209	
Fo	6112	4915	4197	5324	5299	5344	5244	5363	5592	4137	4606	3948	5294	5324	5274	4526	4676	5690	3988	4377	4606	4586	5154	5284	4556	5224	4097	6502	5533	5284	5354	4466	4227	4975	4915	5055	4865	5755	4935	4745	3798	4685	5085	4347	5982	4596	5625	5423	5614	4506	5364	4207	5114	4686	5443	5413	4537	4706	6047	4337	
Fj	17751	16859	13389	13449	13134	13231	13120	18314	14792	9691	12273	11864	16510	15074	16560	14446	13061	15735	13190	11027	11256	15174	14985	17527	14905	17368	12353	16321	13290	12721	12662	15035	10967	13479	14227	13788	13848	15605	15713	12103	10877	12811	15473	13858	15605	15174	17166	13390	15155	13559	17218	13858	17457	15224	13001	16629	12453	14516	14077	15084	
Fi	20124	24287	19122	14775	14500	15095	15354	24476	18271	12552	16291	16680	20139	17567	20319	19850	15693	17166	19810	13280	13519	21724	19501	25054	24556	23001	16690	16971	14845	13469	14357	21764	13440	15982	17258	15972	18763	17589	20987	14496	14107	15483	18574	21994	17328	22123	20807	15194	18714	16271	20728	21734	21774	20259	14157	21774	15673	21924	16873	21705	
Fm	24578	31884	27447	18674	17978	18525	19282	32103	23765	17068	22841	23958	26061	22592	25603	27138	20847	22725	27427	16959	17657	29122	25742	33579	33559	29611	22442	22173	18255	17507	17886	29112	19920	21186	22333	20638	25443	21848	27058	19012	19381	20757	23669	30010	22237	29321	26919	19381	24547	20409	26341	28624	28704	26779	17856	29052	21456	29730	21522	29591	
Fv	18466	26969	23250	13350	12679	13181	14038	26740	18173	12931	18235	20010	20767	17268	20329	22612	16171	17035	23439	12582	13051	24536	20588	28295	29003	24387	18345	15671	12722	12223	12532	24646	15693	16211	17418	15583	20578	16093	22123	14267	15583	16072	18584	25663	16255	24725	21294	13958	18933	15903	20977	24417	23590	22093	12413	23639	16919	25024	15475	25254	
Vj	0.630	0.443	0.395	0.609	0.618	0.598	0.561	0.484	0.506	0.430	0.420	0.396	0.540	0.565	0.555	0.439	0.519	0.590	0.393	0.529	0.510	0.432	0.478	0.433	0.357	0.498	0.450	0.627	0.610	0.608	0.583	0.429	0.429	0.525	0.535	0.560	0.437	0.612	0.487	0.516	0.454	0.506	0.559	0.371	0.592	0.428	0.542	0.571	0.504	0.569	0.565	0.395	0.523	0.477	0.609	0.474	0.468	0.392	0.519	0.426	
Vi	0.759	0.718	0.642	0.708	0.726	0.740	0.720	0.715	0.698	0.651	0.641	0.636	0.715	0.709	0.740	0.678	0.681	0.674	0.675	0.708	0.683	0.698	0.697	0.699	0.690	0.729	0.686	0.668	0.732	0.670	0.718	0.702	0.587	0.679	0.709	0.701	0.675	0.735	0.726	0.683	0.662	0.672	0.726	0.688	0.698	0.709	0.713	0.700	0.692	0.740	0.732	0.718	0.706	0.705	0.702	0.692	0.658	0.688	0.700	0.688	
Fm/Fo	4.021	6.487	6.540	3.508	3.393	3.467	3.677	5.986	4.250	4.126	4.959	6.068	4.923	4.243	4.855	5.996	4.458	3.994	6.877	3.875	3.833	6.350	4.995	6.355	7.366	5.668	5.478	3.410	3.299	3.313	3.341	6.519	4.713	4.258	4.544	4.083	5.230	3.796	5.483	4.007	5.103	4.431	4.655	6.904	3.717	6.380	4.786	3.574	4.372	4.529	4.911	6.804	5.613	5.715	3.281	5.367	4.729	6.317	3.559	6.823	
Fv/Fo	3.021	5.487	5.540	2.508	2.393	2.467	2.677	4.986	3.250	3.126	3.959	5.068	3.923	3.243	3.855	4.996	3.458	2.994	5.877	2.875	2.833	5.350	3.995	5.355	6.366	4.668	4.478	2.410	2.299	2.313	2.341	5.519	3.713	3.258	3.544	3.083	4.230	2.796	4.483	3.007	4.103	3.431	3.655	5.904	2.717	5.380	3.786	2.574	3.372	3.529	3.911	5.804	4.613	4.715	2.281	4.367	3.729	5.317	2.559	5.823	
