FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

time	15:05:19  12.2.2024	15:05:45  12.2.2024	15:06:06  12.2.2024	15:06:30  12.2.2024	15:06:56  12.2.2024	15:07:14  12.2.2024	15:07:41  12.2.2024	15:07:59  12.2.2024	15:08:22  12.2.2024	15:08:41  12.2.2024	15:09:00  12.2.2024	15:09:21  12.2.2024	15:13:27  12.2.2024	15:13:53  12.2.2024	15:14:13  12.2.2024	15:14:32  12.2.2024	15:14:56  12.2.2024	15:15:14  12.2.2024	15:15:32  12.2.2024	15:15:49  12.2.2024	15:16:09  12.2.2024	15:16:30  12.2.2024	15:16:52  12.2.2024	15:17:18  12.2.2024	15:18:24  12.2.2024	15:18:46  12.2.2024	15:19:11  12.2.2024	15:19:31  12.2.2024	15:19:56  12.2.2024	15:20:18  12.2.2024	15:20:37  12.2.2024	15:21:02  12.2.2024	15:21:52  12.2.2024	15:22:11  12.2.2024	15:22:31  12.2.2024	15:22:51  12.2.2024	15:23:51  12.2.2024	15:24:15  12.2.2024	15:24:36  12.2.2024	15:24:56  12.2.2024	15:25:23  12.2.2024	15:25:44  12.2.2024	15:26:04  12.2.2024	15:26:26  12.2.2024	15:26:49  12.2.2024	15:27:14  12.2.2024	15:27:37  12.2.2024	15:28:00  12.2.2024	15:29:08  12.2.2024	15:29:27  12.2.2024	15:29:46  12.2.2024	15:30:04  12.2.2024	15:30:59  12.2.2024	15:31:17  12.2.2024	15:31:35  12.2.2024	15:31:53  12.2.2024	15:40:04  12.2.2024	15:40:25  12.2.2024	15:40:43  12.2.2024	15:41:07  12.2.2024	
Bckg	219	468	239	259	269	209	279	292	325	239	357	219	325	229	292	219	292	292	229	229	325	357	249	422	219	348	552	249	219	309	292	358	299	325	329	259	325	329	325	299	249	292	329	292	299	299	289	325	239	249	239	239	325	325	325	249	219	229	357	239	
Fo	5154	4905	4805	5184	4795	5424	5094	7055	6014	5254	6177	4825	5526	5194	5787	5344	5950	5397	5065	5274	5559	6047	5344	6080	4965	5324	7445	5304	5085	4596	5755	4846	4785	5526	4646	5384	5592	5034	5624	4795	4666	7283	5184	5494	4725	4955	4416	5657	4327	4805	5055	4227	6274	5917	5364	4825	4576	3928	5722	4736	
Fj	13988	12213	13200	11655	12273	14706	13718	16451	16418	12432	16353	12861	15085	14686	17719	15403	15996	14435	14885	15035	13102	15605	12991	15540	13778	13769	18076	14496	12612	12063	17198	12493	11665	15052	12243	12502	14987	13977	14597	13060	12363	18564	13977	14923	11834	12372	11246	15020	11216	12801	13679	11266	13622	16255	13589	12552	10997	10109	13005	11435	
Fi	21854	17906	20797	16061	17178	20997	18713	22855	21880	16799	22140	17727	23603	25383	30756	26351	27147	23993	26650	25832	19409	20547	21355	23246	21844	22323	26399	23708	22881	22322	25294	21615	15363	21814	17058	19172	23050	25144	18986	23549	18624	24611	21953	25099	18474	17706	15882	20872	19202	22721	24426	19611	16385	24448	19441	18454	16730	16470	16646	16610	
Fm	29282	24347	28115	23180	24137	28514	26430	30235	30105	23389	29618	25463	32088	33738	38948	33898	34494	32544	35952	34715	27016	26854	28833	30560	30169	29023	33779	31485	30069	27916	32316	30160	22063	29520	23559	26590	31210	32910	26301	30617	27816	31243	30907	33259	26460	24356	22522	27601	26281	29661	32023	27208	21880	31795	26334	26550	23140	23060	21945	23220	
Fv	24128	19442	23310	17996	19342	23090	21336	23180	24091	18135	23441	20638	26562	28544	33161	28554	28544	27147	30887	29441	21457	20807	23489	24480	25204	23699	26334	26181	24984	23320	26561	25314	17278	23994	18913	21206	25618	27876	20677	25822	23150	23960	25723	27765	21735	19401	18106	21944	21954	24856	26968	22981	15606	25878	20970	21725	18564	19132	16223	18484	
Vj	0.366	0.376	0.360	0.360	0.387	0.402	0.404	0.405	0.432	0.396	0.434	0.389	0.360	0.333	0.360	0.352	0.352	0.333	0.318	0.332	0.352	0.459	0.326	0.386	0.350	0.356	0.404	0.351	0.301	0.320	0.431	0.302	0.398	0.397	0.402	0.336	0.367	0.321	0.434	0.320	0.332	0.471	0.342	0.340	0.327	0.382	0.377	0.427	0.314	0.322	0.320	0.306	0.471	0.399	0.392	0.356	0.346	0.323	0.449	0.362	
Vi	0.692	0.669	0.686	0.604	0.640	0.674	0.638	0.682	0.659	0.637	0.681	0.625	0.681	0.707	0.753	0.736	0.743	0.685	0.699	0.698	0.645	0.697	0.682	0.701	0.670	0.717	0.720	0.703	0.712	0.760	0.736	0.662	0.612	0.679	0.656	0.650	0.681	0.721	0.646	0.726	0.603	0.723	0.652	0.706	0.633	0.657	0.633	0.693	0.678	0.721	0.718	0.669	0.648	0.716	0.671	0.627	0.655	0.656	0.673	0.642	
Fm/Fo	5.681	4.964	5.851	4.471	5.034	5.257	5.188	4.286	5.006	4.452	4.795	5.277	5.807	6.496	6.730	6.343	5.797	6.030	7.098	6.582	4.860	4.441	5.395	5.026	6.076	5.451	4.537	5.936	5.913	6.074	5.615	6.224	4.611	5.342	5.071	4.939	5.581	6.538	4.677	6.385	5.961	4.290	5.962	6.054	5.600	4.915	5.100	4.879	6.074	6.173	6.335	6.437	3.487	5.373	4.909	5.503	5.057	5.871	3.835	4.903	
Fv/Fo	4.681	3.964	4.851	3.471	4.034	4.257	4.188	3.286	4.006	3.452	3.795	4.277	4.807	5.496	5.730	5.343	4.797	5.030	6.098	5.582	3.860	3.441	4.395	4.026	5.076	4.451	3.537	4.936	4.913	5.074	4.615	5.224	3.611	4.342	4.071	3.939	4.581	5.538	3.677	5.385	4.961	3.290	4.962	5.054	4.600	3.915	4.100	3.879	5.074	5.173	5.335	5.437	2.487	4.373	3.909	4.503	4.057	4.871	2.835	3.903	
