treatment,field,data,water_potential (bar),observation
T4H079A4,la_esperanza,2022/10/19,10.14,
T4H079A7,la_esperanza,2022/10/19,9.57,
T4H081A4,la_esperanza,2022/10/19,10.03,
T1H085A4,la_esperanza,2022/10/19,9.37,
T1H085A5,la_esperanza,2022/10/19,10.67,
T1H086A7,la_esperanza,2022/10/19,nulo,se rompe hoja
T2H093A4,la_esperanza,2022/10/19,11.24,
T2H094A4,la_esperanza,2022/10/19,10.84,
T2H094A6,la_esperanza,2022/10/19,9.18,
T3H098A8,la_esperanza,2022/10/19,10.06,
T3H098A9,la_esperanza,2022/10/19,9.89,
T3H099A8,la_esperanza,2022/10/19,9.12,
T3H072A5,rio_claro,2022/10/21,nulo,se rompe hoja
T3H072A6,rio_claro,2022/10/21,nulo,se rompe hoja
T3H072A7,rio_claro,2022/10/21,9.07,
T1H067A5,rio_claro,2022/10/21,nulo,se rompe hoja
T1H067A6,rio_claro,2022/10/21,nulo,se rompe hoja
T1H066A5,rio_claro,2022/10/21,8.34,
T4H062A8,rio_claro,2022/10/21,nulo,se rompe hoja
T4H061A4,rio_claro,2022/10/21,nulo,se rompe hoja
T4H061A6,rio_claro,2022/10/21,10.11,
T2H056A6,rio_claro,2022/10/21,8.78,
T2H055A6,rio_claro,2022/10/21,8.25,
T2H055A8,rio_claro,2022/10/21,9.91,
T3H072A5,rio_claro,2022/10/25,10.94,
T3H072A6,rio_claro,2022/10/25,12.39,
T3H072A7,rio_claro,2022/10/25,11.95,
T1H067A5,rio_claro,2022/10/25,11.81,
T1H067A6,rio_claro,2022/10/25,9.1,
T1H066A5,rio_claro,2022/10/25,9.31,
T4H062A8,rio_claro,2022/10/25,8.26,
T4H061A4,rio_claro,2022/10/25,7.46,
T4H061A6,rio_claro,2022/10/25,9.98,
T2H056A6,rio_claro,2022/10/25,9.8,
T2H055A6,rio_claro,2022/10/25,9.42,
T2H055A8,rio_claro,2022/10/25,10.39,
T4H079A4,la_esperanza,2022/10/26,12.25,
T4H079A7,la_esperanza,2022/10/26,10.53,
T4H081A4,la_esperanza,2022/10/26,12.27,
T1H085A4,la_esperanza,2022/10/26,10.52,
T1H085A5,la_esperanza,2022/10/26,10.33,
T1H086A7,la_esperanza,2022/10/26,9.43,
T2H093A4,la_esperanza,2022/10/26,11.56,
