sitio;tratamiento;fecha_hora;lamina_mm
la_esperanza;T0;11/10/2023 10:10;5.68
la_esperanza;T0;13/10/2023 13:30;7.54
la_esperanza;T0;16/10/2023 10:40;7.45
la_esperanza;T0;23/10/2023 10:40;6.85
la_esperanza;T0;26/10/2023 07:30;10.33
la_esperanza;T0;2/11/2023 10:40;7.21
la_esperanza;T0;6/11/2023 09:30;11.11
la_esperanza;T0;9/11/2023 10:30;7.57
la_esperanza;T0;16/11/2023 06:30;11.29
la_esperanza;T0;21/11/2023 13:00;11.26
la_esperanza;T0;25/11/2023 13:10;11.35
la_esperanza;T0;30/11/2023 12:00;11.26
la_esperanza;T0;4/12/2023 14:30;11.38
la_esperanza;T0;7/12/2023 13:50;10.81
la_esperanza;T0;11/12/2023 12:10;10.96
la_esperanza;T0;14/12/2023 13:40;11.41
la_esperanza;T0;18/12/2023 13:30;11.74
la_esperanza;T0;22/12/2023 13:30;11.32
la_esperanza;T0;26/12/2023 12:00;11.29
la_esperanza;T0;2/1/2024 07:00;11.32
la_esperanza;T0;8/1/2024 13:10;11.32
la_esperanza;T0;16/1/2024 13:10;11.23
la_esperanza;T0;20/1/2024 06:00;11.23
la_esperanza;T0;24/1/2024 10:00;11.23
la_esperanza;T0;29/1/2024 07:20;12.19
la_esperanza;T0;3/2/2024 14:00;11.26
la_esperanza;T0;7/2/2024 13:30;11.14
la_esperanza;T0;12/2/2024 07:30;11.2
la_esperanza;T0;19/2/2024 07:10;11.17
la_esperanza;T0;26/2/2024 07:30;11.23
la_esperanza;T0;1/3/2024 13:10;11.23
la_esperanza;T0;6/3/2024 08:00;9.28
la_esperanza;T0;11/3/2024 10:30;9.31
la_esperanza;T0;15/3/2024 10:20;7.48
la_esperanza;T0;19/3/2024 12:30;7.51
la_esperanza;T0;26/3/2024 07:00;9.34
la_esperanza;T0;5/4/2024 08:10;3.75
la_esperanza;T0;12/4/2024 08:10;3.78
rio_claro;T0;21/9/2023 11:00;0.55
rio_claro;T0;15/11/2023 11:00;1.46
rio_claro;T0;7/12/2023 12:00;1.5
rio_claro;T0;8/12/2023 12:10;1.58
rio_claro;T0;9/12/2023 09:00;3.05
rio_claro;T0;10/12/2023 10:00;2.99
rio_claro;T0;11/12/2023 11:00;6.08
rio_claro;T0;12/12/2023 11:30;3.02
rio_claro;T0;13/12/2023 11:30;3.12
rio_claro;T0;14/12/2023 02:00;6.89
rio_claro;T0;15/12/2023 11:30;3.92
rio_claro;T0;16/12/2023 11:30;2.93
rio_claro;T0;17/12/2023 14:30;2.85
rio_claro;T0;18/12/2023 10:30;3.96
rio_claro;T0;19/12/2023 10:30;3.9
rio_claro;T0;21/12/2023 19:30;0
rio_claro;T0;22/12/2023 12:00;2.63
rio_claro;T0;23/12/2023 06:30;7.08
rio_claro;T0;24/12/2023 10:30;4.43
rio_claro;T0;25/12/2023 03:00;4.34
rio_claro;T0;26/12/2023 05:00;7.35
rio_claro;T0;27/12/2023 09:00;2.98
rio_claro;T0;28/12/2023 08:00;2.96
rio_claro;T0;29/12/2023 08:00;7.39
rio_claro;T0;30/12/2023 03:00;12.79
rio_claro;T0;31/12/2023 12:00;8.65
rio_claro;T0;1/1/2024 14:00;6.79
rio_claro;T0;2/1/2024 08:30;5.09
rio_claro;T0;4/1/2024 17:40;3.49
rio_claro;T0;5/1/2024 16:00;1.46
rio_claro;T0;6/1/2024 03:00;3.39
rio_claro;T0;7/1/2024 21:20;1.9
rio_claro;T0;8/1/2024 11:20;1.93
rio_claro;T0;9/1/2024 10:20;3.93
rio_claro;T0;10/1/2024 18:20;1.06
rio_claro;T0;11/1/2024 11:20;2.13
rio_claro;T0;12/1/2024 10:10;1.01
rio_claro;T0;13/1/2024 03:50;2.05
rio_claro;T0;14/1/2024 03:50;3.78
rio_claro;T0;15/1/2024 19:10;2.84
rio_claro;T0;16/1/2024 12:10;2.74
rio_claro;T0;17/1/2024 09:10;2.86
rio_claro;T0;18/1/2024 09:10;2.87
rio_claro;T0;19/1/2024 09:10;2.72
rio_claro;T0;20/1/2024 09:10;2.76
rio_claro;T0;21/1/2024 09:10;2.73
rio_claro;T0;22/1/2024 09:10;4.36
rio_claro;T0;23/1/2024 10:50;2.78
rio_claro;T0;24/1/2024 04:50;4.57
rio_claro;T0;25/1/2024 07:10;3.36
rio_claro;T0;27/1/2024 05:00;5.52
rio_claro;T0;28/1/2024 16:00;2.76
rio_claro;T0;29/1/2024 04:00;2.81
rio_claro;T0;30/1/2024 04:00;5.84
rio_claro;T0;31/1/2024 17:40;2.94
rio_claro;T0;1/2/2024 11:10;4.44
rio_claro;T0;2/2/2024 05:10;1.55
rio_claro;T0;3/2/2024 18:10;1.6
rio_claro;T0;5/2/2024 18:10;1.37
rio_claro;T0;6/2/2024 18:10;1.27
rio_claro;T0;7/2/2024 18:10;1.12
rio_claro;T0;8/2/2024 18:10;1.13
rio_claro;T0;9/2/2024 18:10;1.13
rio_claro;T0;10/2/2024 14:30;1.13
rio_claro;T0;12/2/2024 14:30;1.12
rio_claro;T0;13/2/2024 11:00;0.47
rio_claro;T0;14/2/2024 14:00;0.39
rio_claro;T0;15/2/2024 04:00;0.52
rio_claro;T0;16/2/2024 04:00;0.63
rio_claro;T0;17/2/2024 04:00;1.22
rio_claro;T0;19/2/2024 09:40;0.95
rio_claro;T0;20/2/2024 09:40;0.89
rio_claro;T0;21/2/2024 09:40;1.28
rio_claro;T0;22/2/2024 11:00;1.5
rio_claro;T0;23/2/2024 11:00;1.58
rio_claro;T0;24/2/2024 10:10;1.58
rio_claro;T0;25/2/2024 10:10;1.51
rio_claro;T0;26/2/2024 16:30;2.33
rio_claro;T0;1/3/2024 12:50;0.51
rio_claro;T0;2/3/2024 13:50;1.92
rio_claro;T0;3/3/2024 13:50;1.91
rio_claro;T0;5/3/2024 12:00;1.9
rio_claro;T0;6/3/2024 12:00;4.59
rio_claro;T0;7/3/2024 17:10;26.68
rio_claro;T0;8/3/2024 18:00;26.68
rio_claro;T0;9/3/2024 16:20;47.54
rio_claro;T0;11/3/2024 13:10;47.63
rio_claro;T0;12/3/2024 13:10;4.74
rio_claro;T0;14/3/2024 13:10;1.72
rio_claro;T0;18/3/2024 11:50;3.5
rio_claro;T0;25/3/2024 17:10;1.68
rio_claro;T0;26/3/2024 17:10;1.71
rio_claro;T0;27/3/2024 12:50;1.54
rio_claro;T0;28/3/2024 04:50;1.38
