From;To;volume_m3; lamina_mm
11/10/2023 10:10;11/10/2023 13:20;189,00;5,68
13/10/2023 13:30;13/10/2023 17:30;251,00;7,54
16/10/2023 10:40;16/10/2023 14:50;248,00;7,45
23/10/2023 10:40;23/10/2023 14:50;228,00;6,85
26/10/2023 07:30;26/10/2023 12:50;344,00;10,33
2/11/2023 10:40;2/11/2023 14:40;240,00;7,21
6/11/2023 09:30;6/11/2023 13:40;370,00;11,11
9/11/2023 10:30;9/11/2023 14:30;252,00;7,57
16/11/2023 06:30;16/11/2023 15:20;376,00;11,29
21/11/2023 13:00;21/11/2023 19:10;375,00;11,26
25/11/2023 13:10;25/11/2023 19:20;378,00;11,35
30/11/2023 12:00;30/11/2023 18:00;375,00;11,26
4/12/2023 14:30;4/12/2023 20:30;379,00;11,38
7/12/2023 13:50;7/12/2023 19:50;360,00;10,81
11/12/2023 12:10;11/12/2023 18:10;365,00;10,96
14/12/2023 13:40;14/12/2023 19:40;380,00;11,41
18/12/2023 13:30;18/12/2023 19:30;391,00;11,74
22/12/2023 13:30;22/12/2023 19:30;377,00;11,32
26/12/2023 12:00;26/12/2023 18:00;376,00;11,29
2/1/2024 07:00;2/1/2024 13:00;377,00;11,32
8/1/2024 13:10;8/1/2024 19:20;377,00;11,32
16/1/2024 13:10;16/1/2024 19:20;374,00;11,23
20/1/2024 06:00;20/1/2024 12:00;374,00;11,23
24/1/2024 10:00;24/1/2024 16:00;374,00;11,23
29/1/2024 07:20;29/1/2024 20:40;406,00;12,19
3/2/2024 14:00;3/2/2024 20:10;375,00;11,26
7/2/2024 13:30;7/2/2024 19:30;371,00;11,14
12/2/2024 07:30;12/2/2024 13:40;373,00;11,20
19/2/2024 07:10;19/2/2024 13:10;372,00;11,17
26/2/2024 07:30;26/2/2024 13:30;374,00;11,23
1/3/2024 13:10;1/3/2024 19:10;374,00;11,23
6/3/2024 08:00;6/3/2024 13:00;309,00;9,28
11/3/2024 10:30;11/3/2024 15:30;310,00;9,31
15/3/2024 10:20;15/3/2024 14:30;249,00;7,48
19/3/2024 12:30;19/3/2024 16:30;250,00;7,51
26/3/2024 07:00;26/3/2024 12:00;311,00;9,34
5/4/2024 08:10;5/4/2024 10:20;125,00;3,75
12/4/2024 08:10;12/4/2024 10:20;126,00;3,78
