sitio;tratamiento;fecha;lamina_mm
rio_claro;T1;3/11/2023;0
rio_claro;T1;28/11/2023;0
rio_claro;T1;27/12/2023;35.41666667
rio_claro;T1;8/1/2024;33.33333333
rio_claro;T1;19/1/2024;18.75
rio_claro;T1;23/1/2024;12.5
rio_claro;T1;1/2/2024;14.58333333
rio_claro;T1;7/3/2024;70.83333333
rio_claro;T1;13/3/2024;10.41666667
rio_claro;T2;3/11/2023;0
rio_claro;T2;28/11/2023;0
rio_claro;T2;27/12/2023;29.16666667
rio_claro;T2;8/1/2024;20.83333333
rio_claro;T2;19/1/2024;6.25
rio_claro;T2;23/1/2024;8.333333333
rio_claro;T2;1/2/2024;10.41666667
rio_claro;T2;7/3/2024;54.16666667
rio_claro;T2;13/3/2024;4.166666667
rio_claro;T3;3/11/2023;0
rio_claro;T3;28/11/2023;0
rio_claro;T3;27/12/2023;14.58333333
rio_claro;T3;8/1/2024;29.16666667
rio_claro;T3;19/1/2024;4.166666667
rio_claro;T3;23/1/2024;6.25
rio_claro;T3;1/2/2024;6.25
rio_claro;T3;7/3/2024;33.33333333
rio_claro;T3;13/3/2024;4.166666667
rio_claro;T4;3/11/2023;0
rio_claro;T4;28/11/2023;0
rio_claro;T4;27/12/2023;27.08333333
rio_claro;T4;8/1/2024;10.41666667
rio_claro;T4;19/1/2024;2.083333333
rio_claro;T4;23/1/2024;2.083333333
rio_claro;T4;1/2/2024;4.166666667
rio_claro;T4;7/3/2024;16.66666667
rio_claro;T4;13/3/2024;0
la_esperanza;T1;20/12/2023;0.666666667
la_esperanza;T2;20/12/2023;0.666666667
la_esperanza;T3;20/12/2023;0.666666667
la_esperanza;T4;20/12/2023;0.666666667
la_esperanza;T1;28/12/2023;4
la_esperanza;T2;28/12/2023;1.866666667
la_esperanza;T3;28/12/2023;0.933333333
la_esperanza;T4;28/12/2023;4
