sitio;tratamiento;fecha;lamina_mm
rio_claro;T3;14/12/2023;1.333333333
rio_claro;T3;14/12/2023;1.333333333
rio_claro;T3;14/12/2023;1.333333333
rio_claro;T3;14/12/2023;4
rio_claro;T3;15/12/2023;4
rio_claro;T3;16/12/2023;0.133333333
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0
rio_claro;T3;16/12/2023;0.133333333
rio_claro;T3;16/12/2023;5.333333333
rio_claro;T3;16/12/2023;3.333333333
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;2.533333333
rio_claro;T3;19/12/2023;16
rio_claro;T3;19/12/2023;5.6
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0.133333333
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0.8
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0.4
rio_claro;T3;19/12/2023;0
rio_claro;T3;19/12/2023;0
rio_claro;T3;20/12/2023;0
rio_claro;T3;20/12/2023;10.4
rio_claro;T3;21/12/2023;0
rio_claro;T3;25/12/2023;0
rio_claro;T3;28/12/2023;0
rio_claro;T3;28/12/2023;0
rio_claro;T3;28/12/2023;0
rio_claro;T3;28/12/2023;0
rio_claro;T3;28/12/2023;16
rio_claro;T3;2/1/2024;16
rio_claro;T3;3/1/2024;16
rio_claro;T3;4/1/2024;16
rio_claro;T3;5/1/2024;8
rio_claro;T3;7/1/2024;8
rio_claro;T3;14/1/2024;8
rio_claro;T3;17/1/2024;8
rio_claro;T3;19/1/2024;8
rio_claro;T3;22/1/2024;8
rio_claro;T3;26/1/2024;8
rio_claro;T3;28/1/2024;8
rio_claro;T3;1/2/2024;8
rio_claro;T3;3/2/2024;8
rio_claro;T3;5/2/2024;8
rio_claro;T3;7/2/2024;8
rio_claro;T3;9/2/2024;8
rio_claro;T3;16/2/2024;8
rio_claro;T3;18/2/2024;8
rio_claro;T3;19/2/2024;8
rio_claro;T3;21/2/2024;8
rio_claro;T3;26/2/2024;8
rio_claro;T3;29/2/2024;8
rio_claro;T3;1/3/2024;8
rio_claro;T3;2/3/2024;8
rio_claro;T3;6/3/2024;8
rio_claro;T3;7/3/2024;8
rio_claro;T3;9/3/2024;3.2
rio_claro;T3;18/3/2024;8
rio_claro;T3;20/3/2024;8
rio_claro;T3;21/3/2024;8
rio_claro;T3;27/3/2024;1.6
rio_claro;T1;14/12/2023;1.333333333
rio_claro;T1;14/12/2023;1.333333333
rio_claro;T1;14/12/2023;1.2
rio_claro;T1;14/12/2023;4
rio_claro;T1;15/12/2023;4
rio_claro;T1;16/12/2023;0.533333333
rio_claro;T1;16/12/2023;0
rio_claro;T1;16/12/2023;4
rio_claro;T1;16/12/2023;0.133333333
rio_claro;T1;16/12/2023;0
rio_claro;T1;16/12/2023;0
rio_claro;T1;16/12/2023;4
rio_claro;T1;17/12/2023;4
rio_claro;T1;17/12/2023;4
rio_claro;T1;18/12/2023;4
rio_claro;T1;18/12/2023;4
rio_claro;T1;19/12/2023;0
rio_claro;T1;19/12/2023;0
rio_claro;T1;19/12/2023;0
rio_claro;T1;19/12/2023;0
rio_claro;T1;19/12/2023;0
rio_claro;T1;19/12/2023;0
rio_claro;T1;19/12/2023;0.266666667
rio_claro;T1;19/12/2023;1.333333333
rio_claro;T1;19/12/2023;0.4
rio_claro;T1;19/12/2023;0
rio_claro;T1;20/12/2023;16
rio_claro;T1;21/12/2023;16
rio_claro;T1;22/12/2023;16
rio_claro;T1;25/12/2023;16
rio_claro;T1;28/12/2023;0.133333333
rio_claro;T1;28/12/2023;0
rio_claro;T1;28/12/2023;0
rio_claro;T1;28/12/2023;0
rio_claro;T1;2/1/2024;16
rio_claro;T1;3/1/2024;16
rio_claro;T1;4/1/2024;16
rio_claro;T1;5/1/2024;16
rio_claro;T1;7/1/2024;16
rio_claro;T1;14/1/2024;16
rio_claro;T1;17/1/2024;16
rio_claro;T1;19/1/2024;16
rio_claro;T1;22/1/2024;16
rio_claro;T1;26/1/2024;16
rio_claro;T1;28/1/2024;16
rio_claro;T1;1/2/2024;16
rio_claro;T1;3/2/2024;16
rio_claro;T1;5/2/2024;16
rio_claro;T1;7/2/2024;16
rio_claro;T1;16/2/2024;16
rio_claro;T1;18/2/2024;16
rio_claro;T1;19/2/2024;16
rio_claro;T1;21/2/2024;16
rio_claro;T1;26/2/2024;16
rio_claro;T1;29/2/2024;16
rio_claro;T1;1/3/2024;16
rio_claro;T1;2/3/2024;16
rio_claro;T1;6/3/2024;16
rio_claro;T1;7/3/2024;16
rio_claro;T1;14/3/2024;16
rio_claro;T1;18/3/2024;16
rio_claro;T1;20/3/2024;16
rio_claro;T1;21/3/2024;16
rio_claro;T1;27/3/2024;16
rio_claro;T1;4/4/2024;1.2
rio_claro;T1;4/4/2024;0
rio_claro;T4;14/12/2023;1.066666667
rio_claro;T4;14/12/2023;1.333333333
rio_claro;T4;14/12/2023;1.333333333
rio_claro;T4;14/12/2023;0.4
rio_claro;T4;15/12/2023;4
rio_claro;T4;16/12/2023;0
rio_claro;T4;16/12/2023;4
rio_claro;T4;16/12/2023;0
rio_claro;T4;16/12/2023;0
rio_claro;T4;16/12/2023;0
rio_claro;T4;16/12/2023;0
rio_claro;T4;16/12/2023;4
rio_claro;T4;17/12/2023;4
rio_claro;T4;17/12/2023;4
rio_claro;T4;18/12/2023;4
rio_claro;T4;18/12/2023;4
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0.133333333
rio_claro;T4;19/12/2023;0
rio_claro;T4;19/12/2023;0.133333333
rio_claro;T4;19/12/2023;0
rio_claro;T4;20/12/2023;16
rio_claro;T4;21/12/2023;16
rio_claro;T4;22/12/2023;16
rio_claro;T4;25/12/2023;16
rio_claro;T4;28/12/2023;0
rio_claro;T4;28/12/2023;0.133333333
rio_claro;T4;28/12/2023;0
rio_claro;T4;28/12/2023;0
rio_claro;T4;28/12/2023;0
rio_claro;T4;28/12/2023;0
rio_claro;T4;28/12/2023;0
rio_claro;T4;2/1/2024;16
rio_claro;T4;3/1/2024;4
rio_claro;T4;4/1/2024;4
rio_claro;T4;5/1/2024;4
rio_claro;T4;7/1/2024;4
rio_claro;T4;14/1/2024;4
rio_claro;T4;17/1/2024;4
rio_claro;T4;19/1/2024;4
rio_claro;T4;22/1/2024;4
rio_claro;T4;26/1/2024;4
rio_claro;T4;28/1/2024;4
rio_claro;T4;1/2/2024;4
rio_claro;T4;3/2/2024;4
rio_claro;T4;5/2/2024;4
rio_claro;T4;7/2/2024;4
rio_claro;T4;9/2/2024;4
rio_claro;T4;16/2/2024;4
rio_claro;T4;18/2/2024;4
rio_claro;T4;19/2/2024;4
rio_claro;T4;21/2/2024;4
rio_claro;T4;26/2/2024;4
rio_claro;T4;29/2/2024;4
rio_claro;T4;1/3/2024;4
rio_claro;T4;2/3/2024;4
rio_claro;T4;6/3/2024;4
rio_claro;T4;7/3/2024;4
rio_claro;T4;18/3/2024;4
rio_claro;T4;20/3/2024;4
rio_claro;T4;21/3/2024;4
rio_claro;T2;14/12/2023;0.133333333
rio_claro;T2;14/12/2023;1.333333333
rio_claro;T2;14/12/2023;1.333333333
rio_claro;T2;14/12/2023;4
rio_claro;T2;15/12/2023;4
rio_claro;T2;16/12/2023;0
rio_claro;T2;16/12/2023;0
rio_claro;T2;16/12/2023;0
rio_claro;T2;16/12/2023;4
rio_claro;T2;17/12/2023;4
rio_claro;T2;17/12/2023;4
rio_claro;T2;18/12/2023;4
rio_claro;T2;18/12/2023;4
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0.133333333
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0
rio_claro;T2;19/12/2023;0.533333333
rio_claro;T2;19/12/2023;0.266666667
rio_claro;T2;19/12/2023;0.666666667
rio_claro;T2;19/12/2023;0
rio_claro;T2;20/12/2023;16
rio_claro;T2;21/12/2023;16
rio_claro;T2;22/12/2023;16
rio_claro;T2;25/12/2023;16
rio_claro;T2;28/12/2023;0.133333333
rio_claro;T2;28/12/2023;0
rio_claro;T2;28/12/2023;0
rio_claro;T2;2/1/2024;16
rio_claro;T2;3/1/2024;12
rio_claro;T2;4/1/2024;12
rio_claro;T2;5/1/2024;12
rio_claro;T2;7/1/2024;12
rio_claro;T2;14/1/2024;12
rio_claro;T2;17/1/2024;12
rio_claro;T2;19/1/2024;12
rio_claro;T2;22/1/2024;12
rio_claro;T2;26/1/2024;12
rio_claro;T2;28/1/2024;12
rio_claro;T2;1/2/2024;12
rio_claro;T2;3/2/2024;12
rio_claro;T2;5/2/2024;12
rio_claro;T2;7/2/2024;12
rio_claro;T2;9/2/2024;12
rio_claro;T2;16/2/2024;12
rio_claro;T2;18/2/2024;12
rio_claro;T2;19/2/2024;12
rio_claro;T2;21/2/2024;12
rio_claro;T2;26/2/2024;12
rio_claro;T2;29/2/2024;12
rio_claro;T2;1/3/2024;12
rio_claro;T2;2/3/2024;12
rio_claro;T2;6/3/2024;12
rio_claro;T2;7/3/2024;12
rio_claro;T2;14/3/2024;7.466666667
rio_claro;T2;18/3/2024;12
rio_claro;T2;20/3/2024;12
rio_claro;T2;21/3/2024;12
la_esperanza;T1;20/12/2023;0.666666667
la_esperanza;T2;20/12/2023;0.666666667
la_esperanza;T3;20/12/2023;0.666666667
la_esperanza;T4;20/12/2023;0.666666667
la_esperanza;T1;28/12/2023;4
la_esperanza;T2;28/12/2023;1.866666667
la_esperanza;T3;28/12/2023;0.933333333
la_esperanza;T4;28/12/2023;4
