"Timestamp  in Local time"	"Yara Water-Sensor ID: 8569[kPa] @2358-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8225[kPa] @2358-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8879[kPa] @2364-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8527[kPa] @2364-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8902[kPa] @2366-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8901[kPa] @2366-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8228[kPa] @2367-1 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8694[kPa] @2367-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8842[kPa] @2370-1 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8878[kPa] @2370-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8787[kPa] @2371-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8887[kPa] @2371-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8786[kPa] @2372-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8180[kPa] @2372-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8482[kPa] @2373-1 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8479[kPa] @2373-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8573[kPa] @2374-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8067[kPa] @2374-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8880[kPa] @2375-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8064[kPa] @2375-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8480[kPa] @2378-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8882[kPa] @2378-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8646[kPa] @2379-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8785[kPa] @2379-3 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8456[kPa] @2381-2 MS:Sensor is not configured"	"Yara Water-Sensor ID: 8574[kPa] @2381-3 MS:Sensor is not configured"
"2024-04-30 00:00:50"	""	""	""	""	"176.80"	"126.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:00:54"	"149.70"	"285.70"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"181.00"	"76.10"	""	""	""	""	""	""
"2024-04-30 00:00:58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"86.00"	"69.60"	""	""
"2024-04-30 00:01:23"	""	""	"35.30"	"32.10"	""	""	""	""	""	""	""	""	""	""	"81.20"	"20.20"	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:01:53"	""	""	""	""	""	""	""	""	"207.80"	"211.30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:03:37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"65.00"	"97.20"	""	""	""	""	""	""	""	""
"2024-04-30 00:03:45"	""	""	""	""	""	""	"37.20"	"205.70"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:04:08"	""	""	""	""	""	""	""	""	""	""	"92.90"	"121.00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:04:44"	""	""	""	""	""	""	""	""	""	""	""	""	"122.50"	"63.80"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:04:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"62.00"	"43.50"
"2024-04-30 00:04:55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"168.20"	"79.80"	""	""	""	""
"2024-04-30 00:05:50"	""	""	""	""	"174.20"	"126.20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:05:54"	"149.40"	"285.80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"180.90"	"76.40"	""	""	""	""	""	""
"2024-04-30 00:05:58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"85.90"	"69.50"	""	""
"2024-04-30 00:06:23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"81.20"	"20.30"	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:06:27"	""	""	"35.30"	"32.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:06:53"	""	""	""	""	""	""	""	""	"207.80"	"211.00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:08:37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"65.10"	"96.70"	""	""	""	""	""	""	""	""
"2024-04-30 00:08:45"	""	""	""	""	""	""	"37.40"	"205.90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:09:08"	""	""	""	""	""	""	""	""	""	""	"92.80"	"120.70"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:09:44"	""	""	""	""	""	""	""	""	""	""	""	""	"122.40"	"62.60"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:09:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"62.30"	"45.80"
"2024-04-30 00:09:55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"167.60"	"79.30"	""	""	""	""
"2024-04-30 00:10:50"	""	""	""	""	"174.80"	"126.20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:10:54"	"149.60"	"286.80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"180.60"	"76.40"	""	""	""	""	""	""
"2024-04-30 00:10:58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"86.00"	"69.70"	""	""
"2024-04-30 00:11:23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"81.20"	"20.30"	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:11:27"	""	""	"35.20"	"32.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:11:53"	""	""	""	""	""	""	""	""	"208.80"	"212.80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:13:37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"65.60"	"96.40"	""	""	""	""	""	""	""	""
"2024-04-30 00:13:45"	""	""	""	""	""	""	"37.70"	"208.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:14:08"	""	""	""	""	""	""	""	""	""	""	"93.00"	"121.20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:14:44"	""	""	""	""	""	""	""	""	""	""	""	""	"122.70"	"61.70"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:14:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"62.40"	"46.20"
"2024-04-30 00:14:55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"167.70"	"79.60"	""	""	""	""
"2024-04-30 00:15:50"	""	""	""	""	"172.80"	"126.00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:15:54"	"149.30"	"286.90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"180.30"	"76.30"	""	""	""	""	""	""
"2024-04-30 00:15:58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"85.60"	"69.60"	""	""
"2024-04-30 00:16:23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"81.10"	"20.30"	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:16:27"	""	""	"35.20"	"32.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:16:53"	""	""	""	""	""	""	""	""	"208.20"	"211.20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:18:37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"65.10"	"95.90"	""	""	""	""	""	""	""	""
"2024-04-30 00:18:45"	""	""	""	""	""	""	"37.90"	"205.40"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:19:08"	""	""	""	""	""	""	""	""	""	""	"92.80"	"120.20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:19:44"	""	""	""	""	""	""	""	""	""	""	""	""	"123.30"	"60.30"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:19:48"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"61.90"	"46.40"
"2024-04-30 00:19:55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"167.50"	"79.00"	""	""	""	""
"2024-04-30 00:20:50"	""	""	""	""	"174.20"	"126.00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:20:54"	"147.80"	"286.00"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"179.70"	"75.60"	""	""	""	""	""	""
"2024-04-30 00:20:58"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"85.30"	"69.40"	""	""
"2024-04-30 00:21:23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"80.40"	"20.10"	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:21:27"	""	""	"35.20"	"32.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:21:53"	""	""	""	""	""	""	""	""	"201.70"	"203.80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:23:37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"63.70"	"95.10"	""	""	""	""	""	""	""	""
"2024-04-30 00:23:45"	""	""	""	""	""	""	"37.50"	"195.50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:24:08"	""	""	""	""	""	""	""	""	""	""	"92.00"	"116.80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-04-30 00:24:44"	""	""	""	""	""	""	""	""	""	""	""	""	"119.20"	"57.60"	""	""	""	""	""	""	""	""	""	""	""	""
