"Timestamp  in Local time"	"Soil Moisture ID: 2662[%VWC] @2359-1 MS:Sensor is not configured"	"Soil Moisture ID: 2665[%VWC] @2360-1 MS:Sensor is not configured"	"Soil Moisture ID: 2663[%VWC] @2361-1 MS:Sensor is not configured"	"Soil Moisture ID: 2658[%VWC] @2363-1 MS:Sensor is not configured"	"Soil Moisture ID: 2647[%VWC] @2364-1 MS:Sensor is not configured"	"Soil Moisture ID: 2649[%VWC] @2366-1 MS:Sensor is not configured"	"Soil Moisture ID: 2648[%VWC] @2367-3 MS:Sensor is not configured"	"Soil Moisture ID: 2654[%VWC] @2369-1 MS:Sensor is not configured"	"Soil Moisture ID: 2656[%VWC] @2370-3 MS:Sensor is not configured"	"Soil Moisture ID: 2653[%VWC] @2371-1 MS:Sensor is not configured"	"Soil Moisture ID: 2645[%VWC] @2373-3 MS:Sensor is not configured"	"Soil Moisture ID: 2644[%VWC] @2374-1 MS:Sensor is not configured"	"Soil Moisture ID: 2661[%VWC] @2375-1 MS:Sensor is not configured"	"Soil Moisture ID: 2666[%VWC] @2376-1 MS:Sensor is not configured"	"Soil Moisture ID: 2659[%VWC] @2377-1 MS:Sensor is not configured"	"Soil Moisture ID: 2655[%VWC] @2379-1 MS:Sensor is not configured"	"Soil Moisture ID: 2650[%VWC] @2380-1 MS:Sensor is not configured"
"2024-02-06 00:00:02"	""	""	""	""	""	""	""	"4.54"	""	""	""	""	""	""	""	""	""
"2024-02-06 00:01:06"	""	""	""	""	""	""	""	""	""	""	""	"5.23"	""	""	""	""	""
"2024-02-06 00:01:08"	""	""	""	""	""	""	"6.18"	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:01:32"	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.40"	""	""	""
"2024-02-06 00:02:01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.05"
"2024-02-06 00:02:25"	"6.25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:02:40"	""	""	""	""	""	""	""	""	""	""	""	""	"3.13"	""	""	""	""
"2024-02-06 00:03:16"	""	""	""	"1.66"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:03:21"	""	""	""	""	""	""	""	""	""	""	"0.00"	""	""	""	""	""	""
"2024-02-06 00:03:26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10.43"	""
"2024-02-06 00:03:27"	""	"6.25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:03:52"	""	""	""	""	""	"3.22"	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:03:57"	""	""	""	""	"6.76"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:04:19"	""	""	""	""	""	""	""	""	"5.69"	""	""	""	""	""	""	""	""
"2024-02-06 00:04:53"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.33"	""	""
"2024-02-06 00:04:54"	""	""	""	""	""	""	""	""	""	"3.27"	""	""	""	""	""	""	""
"2024-02-06 00:05:02"	""	""	""	""	""	""	""	"4.54"	""	""	""	""	""	""	""	""	""
"2024-02-06 00:06:06"	""	""	""	""	""	""	""	""	""	""	""	"5.27"	""	""	""	""	""
"2024-02-06 00:06:08"	""	""	""	""	""	""	"6.23"	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:06:32"	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.40"	""	""	""
"2024-02-06 00:07:01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.08"
"2024-02-06 00:07:24"	""	""	"4.32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:07:25"	"6.23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:07:40"	""	""	""	""	""	""	""	""	""	""	""	""	"3.13"	""	""	""	""
"2024-02-06 00:08:16"	""	""	""	"1.66"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:08:21"	""	""	""	""	""	""	""	""	""	""	"0.00"	""	""	""	""	""	""
"2024-02-06 00:08:26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10.43"	""
"2024-02-06 00:08:27"	""	"6.23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:08:52"	""	""	""	""	""	"3.22"	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:08:57"	""	""	""	""	"6.67"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:09:19"	""	""	""	""	""	""	""	""	"5.59"	""	""	""	""	""	""	""	""
"2024-02-06 00:09:53"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.38"	""	""
"2024-02-06 00:09:54"	""	""	""	""	""	""	""	""	""	"3.30"	""	""	""	""	""	""	""
"2024-02-06 00:10:02"	""	""	""	""	""	""	""	"4.49"	""	""	""	""	""	""	""	""	""
"2024-02-06 00:11:06"	""	""	""	""	""	""	""	""	""	""	""	"5.23"	""	""	""	""	""
"2024-02-06 00:11:08"	""	""	""	""	""	""	"6.13"	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:11:32"	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.35"	""	""	""
"2024-02-06 00:12:01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.00"
"2024-02-06 00:12:24"	""	""	"4.32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:12:25"	"6.23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:12:40"	""	""	""	""	""	""	""	""	""	""	""	""	"3.13"	""	""	""	""
"2024-02-06 00:13:16"	""	""	""	"1.66"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-02-06 00:13:21"	""	""	""	""	""	""	""	""	""	""	"0.00"	""	""	""	""	""	""
"2024-02-06 00:13:26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10.31"	""
"2024-02-06 00:13:27"	""	"6.35"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
