"Timestamp  in Local time"	"Soil Moisture ID: 2662[%VWC] @2359-1 MS:Sensor is not configured"	"Soil Moisture ID: 2665[%VWC] @2360-1 MS:Sensor is not configured"	"Soil Moisture ID: 2663[%VWC] @2361-1 MS:Sensor is not configured"	"Soil Moisture ID: 2658[%VWC] @2363-1 MS:Sensor is not configured"	"Soil Moisture ID: 2647[%VWC] @2364-1 MS:Sensor is not configured"	"Soil Moisture ID: 2649[%VWC] @2366-1 MS:Sensor is not configured"	"Soil Moisture ID: 2648[%VWC] @2367-3 MS:Sensor is not configured"	"Soil Moisture ID: 2654[%VWC] @2369-1 MS:Sensor is not configured"	"Soil Moisture ID: 2656[%VWC] @2370-3 MS:Sensor is not configured"	"Soil Moisture ID: 2653[%VWC] @2371-1 MS:Sensor is not configured"	"Soil Moisture ID: 2644[%VWC] @2374-1 MS:Sensor is not configured"	"Soil Moisture ID: 2661[%VWC] @2375-1 MS:Sensor is not configured"	"Soil Moisture ID: 2666[%VWC] @2376-1 MS:Sensor is not configured"	"Soil Moisture ID: 2659[%VWC] @2377-1 MS:Sensor is not configured"	"Soil Moisture ID: 2655[%VWC] @2379-1 MS:Sensor is not configured"	"Soil Moisture ID: 2650[%VWC] @2380-1 MS:Sensor is not configured"
"2024-03-06 00:00:08"	""	""	""	""	""	""	""	""	"5.35"	""	""	""	""	""	""	""
"2024-03-06 00:00:46"	""	""	"7.99"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-06 00:01:03"	""	""	""	""	""	""	""	"4.59"	""	""	""	""	""	""	""	""
"2024-03-06 00:01:18"	""	""	""	""	""	""	""	""	""	"3.35"	""	""	""	""	""	""
"2024-03-06 00:01:20"	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.81"	""	""
"2024-03-06 00:01:55"	""	""	""	""	""	""	""	""	""	""	"5.52"	""	""	""	""	""
"2024-03-06 00:01:59"	""	""	""	""	""	""	"6.50"	""	""	""	""	""	""	""	""	""
"2024-03-06 00:02:33"	""	""	""	""	""	""	""	""	""	""	""	""	"5.37"	""	""	""
"2024-03-06 00:03:04"	"6.08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12.53"
"2024-03-06 00:03:41"	""	""	""	""	""	""	""	""	""	""	""	"3.22"	""	""	""	""
"2024-03-06 00:04:02"	""	""	""	"4.22"	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-06 00:04:17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10.31"	""
"2024-03-06 00:04:27"	""	""	""	""	""	"2.91"	""	""	""	""	""	""	""	""	""	""
"2024-03-06 00:04:45"	""	"6.57"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2024-03-06 00:04:49"	""	""	""	""	"4.74"	""	""	""	""	""	""	""	""	""	""	""
"2024-03-06 00:05:08"	""	""	""	""	""	""	""	""	"5.35"	""	""	""	""	""	""	""
